工况,参数,样本数,均值,标准差,中位数,IQR,p5,p95,最小值,最大值
割煤中,采煤机_牵引部位_右电机_电流,17885,124.62980150964495,31.525278997461488,124.0,44.0,75.0,177.0,0.0,248.0
割煤中,采煤机_牵引部位_左电机_电流,17885,124.91277606933184,32.28905298590783,124.0,44.0,75.0,182.0,0.0,239.0
割煤中,采煤机_牵引部位_右电机_温度,17885,64.1453173050042,10.711306357643602,66.0,8.0,50.0,74.0,0.0,83.0
割煤中,采煤机_牵引部位_左电机_温度,17885,63.71551579535924,10.636990711341568,66.0,8.0,50.0,73.0,0.0,82.0
割煤中,采煤机_牵引部位_右电机_电压,17885,856.291864691082,28.18969694855875,860.0,30.0,810.0,890.0,580.0,1020.0
割煤中,采煤机_牵引部位_左电机_电压,17885,845.6181157394465,123.50176576275923,860.0,30.0,820.0,900.0,0.0,1030.0
割煤中,采煤机_牵引部位_位置米数,17885,179.8078535085267,110.59889153515984,179.24,203.82999999999998,17.382,343.94599999999997,0.0,352.83
割煤中,采煤机_破碎机_电机_电流,17885,7.448700027956388,13.590451560731236,0.0,19.0,0.0,29.0,0.0,306.0
割煤中,采煤机_破碎机_电机_温度,17885,107.98149287112105,181.0497372918538,48.0,19.0,35.0,644.0,0.0,645.0
割煤中,采煤机_油泵_右电机_电流,17885,19.150796757058988,7.753802898419801,17.0,1.0,16.0,41.0,0.0,69.0
割煤中,采煤机_油泵_左电机_电流,17885,18.308414872798433,6.595755124458427,17.0,0.0,16.0,26.0,0.0,69.0
割煤中,采煤机_油泵_右电机_温度,17885,49.788705619233994,7.1330912438075895,51.0,4.0,44.0,55.0,0.0,64.0
割煤中,采煤机_油泵_左电机_温度,17885,51.30215264187867,7.400682131339642,52.0,3.0,45.0,57.0,0.0,63.0
割煤中,采煤机_油泵_右油箱_油压,17885,3.042348336594912,2.7692287087908514,2.3,0.10000000000000009,2.2,6.9,0.1,26.0
割煤中,采煤机_油泵_左油箱_油压,17885,3.2877998322616717,3.000884204087269,2.4,0.20000000000000018,2.3,8.0,0.2,26.2
割煤中,采煤机_采煤机倾角_俯仰角,17885,0.6658820240424936,1.0732209720009027,0.6,1.4000000000000001,-1.0,2.6,-3.3,4.9
空载牵引,采煤机_牵引部位_采煤机速度,97,2.7979381443298967,2.8415227288998213,1.51,4.13,0.05,7.35,0.02,10.07
空载牵引,采煤机_截割部位_右滚筒_电机_电流,97,1.0309278350515463,10.100988630033724,0.0,0.0,0.0,0.0,0.0,100.0
