工况,参数,样本数,均值,标准差,中位数,IQR,p5,p95,最小值,最大值
重载牵引,采煤机_牵引部位_左电机_电流,18501,123.67877412031783,30.924731304380824,124.0,44.0,75.0,182.0,0.0,239.0
重载牵引,采煤机_牵引部位_右电机_温度,18501,65.1861520998865,6.796090709824665,66.0,8.0,52.0,74.0,35.0,83.0
重载牵引,采煤机_牵引部位_左电机_温度,18501,64.7686071023188,6.746422045894403,66.0,7.0,52.0,74.0,34.0,82.0
重载牵引,采煤机_牵引部位_右电机_电压,18501,856.5839684341387,38.1748817116657,860.0,30.0,820.0,900.0,0.0,970.0
重载牵引,采煤机_牵引部位_左电机_电压,18501,859.569752986325,60.1967726450757,860.0,30.0,820.0,900.0,0.0,970.0
重载牵引,采煤机_牵引部位_位置米数,18501,181.52761472352844,108.46224658141061,180.53,197.63,19.51,343.81,0.0,352.83
重载牵引,采煤机_破碎机_电机_电流,18501,7.634884600832388,14.109294566014492,0.0,19.0,0.0,29.0,0.0,317.0
重载牵引,采煤机_破碎机_电机_温度,18501,110.72850116209935,183.1020233862206,48.0,20.0,35.0,644.0,30.0,645.0
重载牵引,采煤机_油泵_右电机_电流,18501,18.557429328144426,6.577607247615047,17.0,1.0,16.0,23.0,0.0,69.0
重载牵引,采煤机_油泵_左电机_电流,18501,18.332144208421166,6.741819955195127,17.0,1.0,16.0,27.0,0.0,69.0
重载牵引,采煤机_油泵_右电机_温度,18501,50.63558726555321,2.9673568558808734,51.0,4.0,45.0,55.0,35.0,66.0
重载牵引,采煤机_油泵_左电机_温度,18501,52.168423328468734,3.1739915928792404,53.0,3.0,46.0,57.0,35.0,66.0
空载牵引,采煤机_牵引部位_采煤机速度,447,0.7375391498881432,1.2346038800511316,0.32,0.8600000000000001,0.01,3.154,0.01,9.59
空载牵引,采煤机_截割部位_右滚筒_电机_电流,447,67.3489932885906,35.33646382591661,64.0,6.0,47.0,98.0,0.0,640.0
空载牵引,采煤机_截割部位_左滚筒_电机_电流,447,79.7069351230425,64.37419634825343,64.0,20.0,45.0,178.9999999999999,0.0,1052.0
空载牵引,采煤机_截割部位_右滚筒_电机_温度,447,67.03355704697987,6.435099613387322,68.0,7.0,55.3,76.0,44.0,88.0
空载牵引,采煤机_截割部位_左滚筒_电机_温度,447,72.51901565995526,7.92379651154384,73.0,9.0,60.0,84.69999999999999,48.0,95.0
空载牵引,采煤机_牵引部位_右电机_电流,447,36.852348993288594,11.694303000613159,35.0,4.0,0.0,51.49999999999994,0.0,97.0
空载牵引,采煤机_牵引部位_左电机_电流,447,36.80089485458613,14.408337106347577,39.0,9.0,0.0,57.0,0.0,93.0
空载牵引,采煤机_牵引部位_右电机_温度,447,65.26398210290827,7.675588152974784,67.0,9.0,48.3,74.0,41.0,81.0
空载牵引,采煤机_牵引部位_左电机_温度,447,64.81208053691275,7.645123135169444,66.0,9.0,48.3,74.0,41.0,80.0
空载牵引,采煤机_牵引部位_右电机_电压,447,872.3937360178971,37.80731503799516,870.0,30.0,830.0,920.0,700.0,1020.0
空载牵引,采煤机_牵引部位_左电机_电压,447,880.2237136465325,35.70879075856889,880.0,30.0,850.0,930.0,720.0,1030.0
空载牵引,采煤机_牵引部位_位置米数,447,164.9850111856823,116.63899581001247,145.12,219.29999999999998,15.059000000000001,346.151,14.11,352.0
空载牵引,采煤机_破碎机_电机_电流,447,6.552572706935123,12.153429519517402,0.0,0.0,0.0,29.0,0.0,71.0
空载牵引,采煤机_破碎机_电机_温度,447,109.19015659955257,181.54491643015223,48.0,19.0,35.0,644.0,32.0,645.0
空载牵引,采煤机_油泵_右电机_电流,447,17.92841163310962,5.8055186990684815,17.0,1.0,16.0,21.0,0.0,66.0
空载牵引,采煤机_油泵_左电机_电流,447,18.83668903803132,8.472759125755845,17.0,0.0,16.0,34.39999999999998,0.0,66.0
空载牵引,采煤机_油泵_右电机_温度,447,51.049217002237135,3.128463977569551,51.0,3.0,45.3,55.0,39.0,68.0
空载牵引,采煤机_油泵_左电机_温度,447,52.4407158836689,3.413415751673762,53.0,4.0,45.0,57.0,40.0,66.0
