事件ID,开始时间,结束时间,时长_分钟,工况,方法集,严重度,触发行数,触发参数行数,归因参数top,归因参数数,归因明细,根因类别,根因主类,部位
2167,2024-04-25 09:21:00,2024-04-25 09:43:00,23.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,135.91,690,73,截割部位_左滚筒_电机_电流,10,马氏·PC2→截割部位_右滚筒_电机_电流_RMS(70%); 马氏·PC3→牵引部位_左电机_电流_RMS(29%); 残差·截割部位_右滚筒_电机_电流 偏高 实际=1041.0 vs 预测=0.0; 马氏·PC2→截割部位_右滚筒_电机_电流_RMS(90%); 马氏·PC3→牵引部位_左电机_电流_RMS(9%); 马氏·PC1→破碎机_电机_温度_RMS(1%); 马氏·PC2→截割部位_右滚筒_电机_电流_RMS(94%); 马氏·PC3→牵引部位_左电机_电流_RMS(5%),电流类,电流类,破碎机
1416,2024-04-14 12:42:00,2024-04-17 16:01:00,4520.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,87.225,135600,12336,破碎机_电机_温度,19,单变量·截割部位_右滚筒_电机_温度 z=-3.4 实际=0.0 均值=58.8; 单变量·截割部位_左滚筒_电机_温度 z=-3.4 实际=0.0 均值=62.7; 单变量·油泵_右电机_温度 z=-3.7 实际=0.0 均值=45.9; 单变量·油泵_左电机_温度 z=-3.7 实际=0.0 均值=47.1; 单变量·牵引部位_右电机_温度 z=-3.3 实际=0.0 均值=56.0; 单变量·牵引部位_左电机_温度 z=-3.3 实际=0.0 均值=55.6; 单变量·破碎机_电机_温度 z=-3.2 实际=0.0 均值=40.7; 马氏·PC1→破碎机_电机_温度_RMS(93%),破碎机温度钳位(数据质量),破碎机温度钳位(数据质量),破碎机
1115,2024-04-11 14:11:00,2024-04-11 14:26:00,16.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,62.772,480,138,截割部位_左滚筒_电机_温度,14,单变量·截割部位_右滚筒_电机_温度 z=-3.4 实际=0.0 均值=58.8; 单变量·截割部位_左滚筒_电机_温度 z=-3.4 实际=0.0 均值=62.7; 单变量·油泵_右电机_温度 z=-3.7 实际=0.0 均值=45.9; 单变量·油泵_左电机_温度 z=-3.7 实际=0.0 均值=47.1; 单变量·牵引部位_右电机_温度 z=-3.3 实际=0.0 均值=56.0; 单变量·牵引部位_左电机_温度 z=-3.3 实际=0.0 均值=55.6; 单变量·破碎机_电机_温度 z=-3.2 实际=0.0 均值=40.7; 残差·截割部位_右滚筒_电机_温度 偏高 实际=44.0 vs 预测=0.0,温度类,温度类,破碎机
39,2024-04-01 12:00:00,2024-04-01 13:42:00,103.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,59.242,3090,742,油泵_右电机_温度,11,单变量·截割部位_右滚筒_电机_温度 z=-3.4 实际=0.0 均值=58.8; 单变量·截割部位_左滚筒_电机_温度 z=-3.4 实际=0.0 均值=62.7; 单变量·油泵_右电机_温度 z=-3.7 实际=0.0 均值=45.9; 单变量·油泵_左电机_温度 z=-3.7 实际=0.0 均值=47.1; 单变量·牵引部位_右电机_温度 z=-3.3 实际=0.0 均值=56.0; 单变量·牵引部位_左电机_温度 z=-3.3 实际=0.0 均值=55.6; 单变量·破碎机_电机_温度 z=-3.2 实际=0.0 均值=40.7; 残差·截割部位_右滚筒_电机_温度 偏高 实际=42.0 vs 预测=0.0,温度类,温度类,破碎机
896,2024-04-25 09:48:00,2024-04-25 09:55:00,8.0,带载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,42.361,208,22,转载机_链条速度_RMS,6,马氏·PC1→转载机_链条速度_RMS(100%); 单变量·转载机_电机_转速 z=-2.4 实际=518.0 均值=1100.4; 单变量·转载机_电机_转速 z=-1.2 实际=819.0 均值=1100.4; 残差·转载机_电机_电流 偏高 实际=135.0 vs 预测=69.4; 残差·转载机_电机_转矩 偏高 实际=55.0 vs 预测=17.2; 残差·转载机_电机_电流 偏高 实际=153.0 vs 预测=89.8; 残差·转载机_电机_转矩 偏高 实际=63.0 vs 预测=30.2,转速信号/负载信号,转速信号,转载机ZZJ
1080,2024-04-11 05:00:00,2024-04-11 05:02:00,3.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,39.356,90,6,破碎机_电机_温度,2,残差·破碎机_电机_温度 偏高 实际=67.0 vs 预测=52.0; 残差·破碎机_电机_电流 偏高 实际=28.0 vs 预测=0.0; 残差·破碎机_电机_温度 偏高 实际=67.0 vs 预测=55.0; 残差·破碎机_电机_电流 偏高 实际=28.0 vs 预测=5.6,破碎机温度钳位(数据质量),破碎机温度钳位(数据质量),破碎机
184,2024-04-02 07:58:00,2024-04-02 07:58:00,1.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,18.03,38,8,,0,,无归因(仅多方法一致),无归因(仅多方法一致),牵引部
944,2024-04-09 10:20:00,2024-04-09 10:23:00,4.0,轻载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,17.489,136,20,,0,,无归因(仅多方法一致),无归因(仅多方法一致),油泵
626,2024-04-05 07:13:00,2024-04-05 07:13:00,1.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,16.614,38,4,,0,,无归因(仅多方法一致),无归因(仅多方法一致),牵引部
1674,2024-04-20 16:42:00,2024-04-20 16:45:00,4.0,轻载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,16.151,136,9,,0,,无归因(仅多方法一致),无归因(仅多方法一致),油泵
1144,2024-05-03 00:06:00,2024-05-03 00:10:00,5.0,带载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,14.893,130,8,转载机_电机_电流,5,马氏·PC1→转载机_链条速度_RMS(100%); 单变量·转载机_电机_电流 z=2.7 实际=126.0 均值=86.6; 单变量·转载机_电机_转矩 z=2.6 实际=53.0 均值=28.2; 单变量·转载机_电机_电流 z=3.2 实际=134.0 均值=86.6; 单变量·转载机_电机_转矩 z=2.9 实际=56.0 均值=28.2; 单变量·转载机_电机_电流 z=3.9 实际=143.0 均值=86.6; 单变量·转载机_电机_转矩 z=3.3 实际=60.0 均值=28.2,负载信号,负载信号,转载机ZZJ
1358,2024-04-14 02:31:00,2024-04-14 02:32:00,2.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,14.182,60,2,,0,,无归因(仅多方法一致),无归因(仅多方法一致),破碎机
175,2024-04-02 17:20:00,2024-04-02 17:20:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,14.06,30,1,,0,,无归因(仅多方法一致),无归因(仅多方法一致),破碎机
773,2024-04-06 21:47:00,2024-04-06 21:48:00,2.0,割煤中位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,13.821,60,7,,0,,无归因(仅多方法一致),无归因(仅多方法一致),截割部
596,2024-04-05 08:37:00,2024-04-05 08:37:00,1.0,待机-高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,13.087,30,2,,0,,无归因(仅多方法一致),无归因(仅多方法一致),截割部
360,2024-04-04 06:24:00,2024-04-04 06:24:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,12.798,30,3,截割部位_右滚筒_电机_温度,3,残差·截割部位_右滚筒_电机_温度 偏高 实际=78.0 vs 预测=66.6; 残差·截割部位_左滚筒_电机_电流 偏高 实际=334.0 vs 预测=59.8; 残差·破碎机_电机_温度 偏高 实际=64.0 vs 预测=50.0,温度类/电流类,温度类,破碎机
578,2024-04-06 00:31:00,2024-04-06 00:38:00,8.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,10.628,240,16,破碎机_电机_温度,6,残差·油泵_左电机_电流 偏高 实际=50.0 vs 预测=17.2; 残差·油泵_左电机_电流 偏高 实际=48.0 vs 预测=23.8; 单变量·破碎机_电机_温度 z=2.1 实际=68.0 均值=40.7; 残差·截割部位_右滚筒_电机_温度 偏高 实际=68.0 vs 预测=54.4; 残差·牵引部位_右电机_温度 偏高 实际=64.0 vs 预测=50.0; 残差·牵引部位_左电机_温度 偏高 实际=64.0 vs 预测=49.2; 残差·破碎机_电机_温度 偏高 实际=68.0 vs 预测=50.0; 单变量·破碎机_电机_温度 z=2.0 实际=67.0 均值=40.7,破碎机温度钳位(数据质量)/温度类,破碎机温度钳位(数据质量),破碎机
1383,2024-05-10 11:28:00,2024-05-10 11:28:00,1.0,带载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,9.948,26,2,,0,,无归因(仅多方法一致),无归因(仅多方法一致),转载机ZZJ
1331,2024-05-08 19:40:00,2024-05-08 19:40:00,1.0,带载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,9.06,26,1,,0,,无归因(仅多方法一致),无归因(仅多方法一致),转载机ZZJ
690,2024-04-06 21:55:00,2024-04-06 21:59:00,5.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.87,150,9,破碎机_电机_温度,4,残差·牵引部位_右电机_温度 偏高 实际=63.0 vs 预测=50.4; 残差·牵引部位_左电机_温度 偏高 实际=63.0 vs 预测=49.2; 残差·破碎机_电机_温度 偏高 实际=60.0 vs 预测=45.2; 残差·破碎机_电机_温度 偏高 实际=59.0 vs 预测=48.0; 残差·截割部位_右滚筒_电机_电流 偏高 实际=310.0 vs 预测=90.0,温度类/破碎机温度钳位(数据质量),温度类,破碎机
1853,2024-04-22 05:23:00,2024-04-22 05:25:00,3.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.674,90,5,破碎机_电机_温度,4,残差·牵引部位_右电机_温度 偏高 实际=74.0 vs 预测=62.4; 残差·牵引部位_左电机_温度 偏高 实际=73.0 vs 预测=60.6; 残差·破碎机_电机_温度 偏高 实际=56.0 vs 预测=41.0; 残差·破碎机_电机_温度 偏高 实际=55.0 vs 预测=44.0; 残差·油泵_右电机_电流 偏高 实际=54.0 vs 预测=17.6,温度类/破碎机温度钳位(数据质量),温度类,破碎机
1610,2024-04-19 20:56:00,2024-04-19 21:00:00,5.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.282,150,7,破碎机_电机_温度,6,残差·牵引部位_右电机_温度 偏高 实际=59.0 vs 预测=45.0; 残差·牵引部位_左电机_温度 偏高 实际=58.0 vs 预测=43.2; 残差·破碎机_电机_温度 偏高 实际=53.0 vs 预测=38.0; 残差·破碎机_电机_温度 偏高 实际=52.0 vs 预测=41.0; 残差·截割部位_右滚筒_电机_电流 偏高 实际=174.0 vs 预测=0.0; 残差·牵引部位_左电机_电流 偏高 实际=164.0 vs 预测=25.6; 残差·破碎机_电机_电流 偏高 实际=47.0 vs 预测=22.0,电流类/温度类,电流类,破碎机
