事件ID,开始时间,结束时间,时长_分钟,工况,方法集,严重度,触发行数,触发参数行数,归因参数top,归因参数数,归因明细,根因类别,根因主类,部位
1363,2024-04-11 14:11:00,2024-04-11 14:32:00,22.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,38301.934,836,141,截割部位_右滚筒_电机_温度,19,单变量·截割部位_右滚筒_电机_温度 z=-2.7 实际=0.0 均值=51.6; 单变量·截割部位_左滚筒_电机_温度 z=-2.7 实际=0.0 均值=54.8; 单变量·油泵_右电机_温度 z=-2.9 实际=0.0 均值=42.1; 单变量·油泵_左电机_温度 z=-2.8 实际=0.0 均值=42.9; 单变量·牵引部位_右电机_温度 z=-2.7 实际=0.0 均值=48.5; 单变量·牵引部位_左电机_温度 z=-2.7 实际=0.0 均值=48.0; 单变量·破碎机_电机_温度 z=-0.5 实际=0.0 均值=99.2; 残差·截割部位_右滚筒_电机_温度 偏高 实际=44.0 vs 预测=0.0,温度类,温度类,牵引部
1653,2024-04-17 13:05:00,2024-04-17 15:24:00,140.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,37058.689,4200,530,破碎机_电机_温度,18,马氏·PC1→破碎机_电机_温度_RMS(67%); 马氏·PC3→牵引部位_左电机_电流_RMS(22%); 马氏·PC2→截割部位_右滚筒_电机_电流_RMS(10%); 单变量·破碎机_电机_温度 z=2.3 实际=644.0 均值=134.8; 马氏·PC1→破碎机_电机_温度_RMS(66%); 马氏·PC2→截割部位_右滚筒_电机_电流_RMS(26%); 马氏·PC3→牵引部位_左电机_电流_RMS(8%); 残差·油泵_右电机_电流 偏高 实际=21.0 vs 预测=0.0,破碎机温度钳位(数据质量)/电流类,破碎机温度钳位(数据质量),截割部
1092,2024-04-11 14:11:00,2024-04-11 14:29:00,19.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,33559.767,646,196,截割部位_右滚筒_电机_温度,20,单变量·截割部位_右滚筒_电机_温度 z=-2.4 实际=0.0 均值=49.4; 单变量·截割部位_左滚筒_电机_温度 z=-2.4 实际=0.0 均值=51.9; 单变量·油泵_右电机_温度 z=-2.5 实际=0.0 均值=40.5; 单变量·油泵_左电机_温度 z=-2.5 实际=0.0 均值=41.3; 单变量·牵引部位_右电机_温度 z=-2.4 实际=0.0 均值=46.0; 单变量·牵引部位_左电机_温度 z=-2.4 实际=0.0 均值=45.5; 单变量·破碎机_电机_温度 z=-0.5 实际=0.0 均值=101.9; 残差·截割部位_右滚筒_电机_温度 偏高 实际=44.0 vs 预测=0.0,温度类,温度类,油泵
164,2024-04-02 13:36:00,2024-04-02 16:04:00,149.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,32756.938,5066,176,油泵_右油箱_油压,9,马氏·PC2→截割部位_右滚筒_电机_电流_RMS(55%); 马氏·PC3→牵引部位_左电机_电流_RMS(42%); 马氏·PC1→破碎机_电机_温度_RMS(2%); 残差·截割部位_右滚筒_电机_电流 偏高 实际=1091.0 vs 预测=57.8; 马氏·PC2→截割部位_右滚筒_电机_电流_RMS(93%); 马氏·PC3→牵引部位_左电机_电流_RMS(7%); 单变量·油泵_左油箱_油压 z=0.6 实际=0.7 均值=0.3; 单变量·油泵_右油箱_油压 z=0.3 实际=0.4 均值=0.3,油压类,油压类,油泵
1914,2024-04-22 15:34:00,2024-04-22 15:49:00,16.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,30877.74,544,52,油泵_右油箱_油压,15,单变量·截割部位_右滚筒_电机_温度 z=-3.4 实际=45.0 均值=66.7; 单变量·截割部位_左滚筒_电机_温度 z=-3.6 实际=46.0 均值=71.8; 单变量·油泵_右油箱_油压 z=2.1 实际=8.8 均值=3.0; 单变量·油泵_左油箱_油压 z=-0.0 实际=3.2 均值=3.3; 单变量·牵引部位_右电机_电流 z=-2.1 实际=0.0 均值=105.5; 单变量·牵引部位_左电机_温度 z=-2.3 实际=48.0 均值=64.3; 单变量·牵引部位_左电机_电流 z=-2.1 实际=0.0 均值=105.9; 单变量·油泵_右油箱_油压 z=4.9 实际=16.3 均值=3.0,电流类/温度类,电流类,油泵
384,2024-04-04 13:11:00,2024-04-04 14:00:00,50.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,30855.645,1700,377,截割部位_左滚筒_电机_温度,20,单变量·截割部位_右滚筒_电机_温度 z=-2.4 实际=0.0 均值=49.4; 单变量·截割部位_左滚筒_电机_温度 z=-2.4 实际=0.0 均值=51.9; 单变量·油泵_右电机_温度 z=-2.5 实际=0.0 均值=40.5; 单变量·油泵_左电机_温度 z=-2.5 实际=0.0 均值=41.3; 单变量·牵引部位_右电机_温度 z=-2.4 实际=0.0 均值=46.0; 单变量·牵引部位_左电机_温度 z=-2.4 实际=0.0 均值=45.5; 单变量·破碎机_电机_温度 z=-0.5 实际=0.0 均值=101.9; 残差·截割部位_右滚筒_电机_温度 偏高 实际=42.0 vs 预测=0.0,温度类,温度类,油泵
736,2024-04-06 15:47:00,2024-04-06 16:00:00,14.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,29434.59,420,46,油泵_左电机_温度,14,马氏·PC2→截割部位_右滚筒_电机_电流_RMS(79%); 马氏·PC3→牵引部位_左电机_电流_RMS(21%); 残差·截割部位_右滚筒_电机_温度 偏高 实际=54.0 vs 预测=46.8; 残差·截割部位_左滚筒_电机_温度 偏高 实际=58.0 vs 预测=48.2; 残差·油泵_右电机_温度 偏高 实际=44.0 vs 预测=37.8; 残差·油泵_左电机_温度 偏高 实际=45.0 vs 预测=39.0; 马氏·PC2→截割部位_右滚筒_电机_电流_RMS(81%); 马氏·PC3→牵引部位_左电机_电流_RMS(18%),温度类,温度类,截割部
97,2024-04-01 22:27:00,2024-04-01 22:32:00,6.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,27509.168,228,11,截割部位_右滚筒_电机_电流_RMS,9,马氏·PC1→牵引部位_左电机_电压_RMS(96%); 马氏·PC3→截割部位_右滚筒_电机_电流_RMS(4%); 残差·牵引部位_位置米数 偏高 实际=203.3 vs 预测=32.7; 残差·牵引部位_右电机_温度 偏高 实际=69.0 vs 预测=48.8; 残差·牵引部位_左电机_温度 偏高 实际=68.0 vs 预测=47.0; 马氏·PC1→牵引部位_左电机_电压_RMS(84%); 马氏·PC3→截割部位_右滚筒_电机_电流_RMS(16%); 残差·牵引部位_位置米数 偏高 实际=203.3 vs 预测=66.8,电流类/牵引电压开关量(数据质量),电流类,牵引部
2144,2024-04-20 22:18:00,2024-04-20 22:20:00,3.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,24210.445,114,9,截割部位_右滚筒_电机_电流_RMS,9,马氏·PC3→截割部位_右滚筒_电机_电流_RMS(97%); 马氏·PC1→牵引部位_左电机_电压_RMS(2%); 残差·截割部位_右滚筒_电机_温度 偏高 实际=71.0 vs 预测=60.8; 残差·截割部位_右滚筒_电机_电流 偏高 实际=705.0 vs 预测=68.0; 残差·牵引部位_位置米数 偏高 实际=340.8 vs 预测=142.5; 马氏·PC1→牵引部位_左电机_电压_RMS(65%); 马氏·PC3→截割部位_右滚筒_电机_电流_RMS(31%); 马氏·PC2→破碎机_电机_温度_RMS(2%),电流类/进刀位置类,电流类,牵引部
1916,2024-04-19 16:01:00,2024-04-19 16:10:00,10.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,13510.038,300,40,油泵_右电机_温度,11,残差·油泵_右电机_电流 偏高 实际=22.0 vs 预测=0.0; 残差·油泵_左电机_电流 偏高 实际=21.0 vs 预测=0.0; 马氏·PC3→牵引部位_左电机_电流_RMS(53%); 马氏·PC4→截割部位_左滚筒_电机_电流_RMS(34%); 马氏·PC2→截割部位_右滚筒_电机_电流_RMS(13%); 残差·油泵_右电机_电流 偏高 实际=25.0 vs 预测=4.4; 残差·油泵_左电机_电流 偏高 实际=21.0 vs 预测=4.2; 残差·牵引部位_右电机_电流 偏高 实际=39.0 vs 预测=0.0,温度类,温度类,截割部
475,2024-04-05 05:09:00,2024-04-05 06:00:00,52.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,12378.124,1768,122,油泵_右油箱_油压,16,单变量·牵引部位_右电机_电流 z=-2.1 实际=0.0 均值=105.5; 单变量·牵引部位_左电机_电流 z=-2.1 实际=0.0 均值=105.9; 马氏·PC2→截割部位_右滚筒_电机_电流_RMS(66%); 马氏·PC3→牵引部位_左电机_电流_RMS(33%); 马氏·PC4→截割部位_左滚筒_电机_电流_RMS(1%); 残差·截割部位_左滚筒_电机_电流 偏高 实际=1019.0 vs 预测=125.4; 马氏·PC4→截割部位_左滚筒_电机_电流_RMS(47%); 马氏·PC2→截割部位_右滚筒_电机_电流_RMS(28%),油压类,油压类,油泵
1373,2024-04-11 19:35:00,2024-04-11 20:01:00,27.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,11409.852,1026,97,截割部位_右滚筒_电机_温度,18,马氏·PC3→截割部位_右滚筒_电机_电流_RMS(51%); 马氏·PC4→牵引部位_位置米数_RMS(49%); 马氏·PC1→牵引部位_左电机_电压_RMS(81%); 马氏·PC3→截割部位_右滚筒_电机_电流_RMS(12%); 马氏·PC4→牵引部位_位置米数_RMS(7%); 残差·油泵_右电机_电流 偏高 实际=29.0 vs 预测=0.0; 残差·牵引部位_右电机_电压 偏高 实际=1030.0 vs 预测=0.0; 残差·牵引部位_左电机_电压 偏高 实际=1030.0 vs 预测=10.0,温度类/电流类,温度类,牵引部
613,2024-04-05 05:23:00,2024-04-05 05:37:00,15.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,10869.947,570,26,截割部位_右滚筒_电机_电流_RMS,7,马氏·PC1→牵引部位_左电机_电压_RMS(89%); 马氏·PC3→截割部位_右滚筒_电机_电流_RMS(7%); 马氏·PC4→牵引部位_位置米数_RMS(4%); 马氏·PC1→牵引部位_左电机_电压_RMS(90%); 马氏·PC3→截割部位_右滚筒_电机_电流_RMS(5%); 马氏·PC4→牵引部位_位置米数_RMS(5%); 马氏·PC1→牵引部位_左电机_电压_RMS(88%); 马氏·PC4→牵引部位_位置米数_RMS(6%),牵引电压开关量(数据质量)/电流类,牵引电压开关量(数据质量),牵引部
701,2024-04-05 20:59:00,2024-04-05 20:59:00,1.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,10743.295,38,1,截割部位_右滚筒_电机_电流_RMS,5,马氏·PC1→牵引部位_左电机_电压_RMS(62%); 马氏·PC3→截割部位_右滚筒_电机_电流_RMS(38%),牵引电压开关量(数据质量),牵引电压开关量(数据质量),牵引部
499,2024-04-04 17:35:00,2024-04-04 17:46:00,12.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,10387.84,456,37,截割部位_右滚筒_电机_电流,13,马氏·PC1→牵引部位_左电机_电压_RMS(67%); 马氏·PC3→截割部位_右滚筒_电机_电流_RMS(33%); 残差·牵引部位_右电机_电压 偏高 实际=1010.0 vs 预测=0.0; 残差·牵引部位_左电机_电压 偏高 实际=1010.0 vs 预测=10.0; 马氏·PC1→牵引部位_左电机_电压_RMS(66%); 马氏·PC3→截割部位_右滚筒_电机_电流_RMS(34%); 马氏·PC1→牵引部位_左电机_电压_RMS(61%); 马氏·PC3→截割部位_右滚筒_电机_电流_RMS(39%),温度类/电流类,温度类,牵引部
116,2024-04-02 00:40:00,2024-04-02 00:42:00,3.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,10366.181,114,4,牵引部位_左电机_电压_RMS,6,马氏·PC1→牵引部位_左电机_电压_RMS(51%); 马氏·PC3→截割部位_右滚筒_电机_电流_RMS(47%); 马氏·PC4→牵引部位_位置米数_RMS(2%); 马氏·PC1→牵引部位_左电机_电压_RMS(78%); 马氏·PC3→截割部位_右滚筒_电机_电流_RMS(22%); 马氏·PC1→牵引部位_左电机_电压_RMS(100%),牵引电压开关量(数据质量),牵引电压开关量(数据质量),牵引部
1005,2024-04-28 18:24:00,2024-04-28 18:33:00,10.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,9986.169,260,82,转载机_电机_电流,9,马氏·PC1→转载机_链条速度_RMS(100%); 单变量·转载机_电机_电流 z=17.9 实际=102.0 均值=0.4; 单变量·转载机_电机_转矩 z=23.1 实际=41.0 均值=0.1; 单变量·转载机_电机_转速 z=13.4 实际=1010.0 均值=5.0; 单变量·转载机_链条速度 z=13.4 实际=1584.0 均值=7.8; 残差·转载机_电机_电流 偏高 实际=102.0 vs 预测=0.0; 残差·转载机_电机_转矩 偏高 实际=41.0 vs 预测=0.0; 残差·转载机_电机_转速 偏高 实际=1010.0 vs 预测=0.0,负载信号/链条速度恒量(数据质量),负载信号,转载机ZZJ
1825,2024-05-26 06:53:00,2024-05-26 08:30:00,98.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,9755.431,2548,793,转载机_电机_转矩,13,马氏·PC1→转载机_链条速度_RMS(100%); 单变量·转载机_减速器_油箱_油位 z=1.2 实际=316.0 均值=277.4; 单变量·转载机_电机_电流 z=12.6 实际=72.0 均值=0.4; 单变量·转载机_电机_转矩 z=9.5 实际=17.0 均值=0.1; 单变量·转载机_电机_转速 z=17.2 实际=1300.0 均值=5.0; 单变量·转载机_链条速度 z=17.2 实际=2028.0 均值=7.8; 残差·转载机_减速器_油箱_油位 偏高 实际=316.0 vs 预测=264.0; 残差·转载机_电机_电流 偏高 实际=72.0 vs 预测=0.0,负载信号/链条速度恒量(数据质量),负载信号,转载机ZZJ
2013,2024-04-19 21:16:00,2024-04-19 21:16:00,1.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,9633.11,38,2,牵引部位_位置米数,6,马氏·PC1→牵引部位_左电机_电压_RMS(78%); 马氏·PC3→截割部位_右滚筒_电机_电流_RMS(21%); 残差·牵引部位_位置米数 偏高 实际=300.7 vs 预测=114.8,进刀位置类,进刀位置类,牵引部
1006,2024-04-28 18:39:00,2024-04-28 23:48:00,310.0,带载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,9400.557,8060,503,转载机_链条速度_RMS,12,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_电机_转速 偏高 实际=1181.0 vs 预测=701.8; 残差·转载机_链条速度 偏高 实际=1831.0 vs 预测=1097.0; 残差·转载机_电机_转速 偏高 实际=1398.0 vs 预测=759.2; 残差·转载机_链条速度 偏高 实际=2185.0 vs 预测=1184.8; 残差·转载机_电机_电流 偏高 实际=130.0 vs 预测=89.6; 单变量·转载机_减速器_油箱_油位 z=2.2 实际=494.0 均值=296.1; 单变量·转载机_减速器_油箱_油位 z=2.2 实际=493.0 均值=296.1,链条速度恒量(数据质量)/油温油位信号,链条速度恒量(数据质量),转载机ZZJ
981,2024-04-28 06:33:00,2024-04-28 06:37:00,5.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,9391.198,130,8,转载机_减速器_油箱_油位,4,马氏·PC1→转载机_链条速度_RMS(100%); 单变量·转载机_减速器_油箱_油位 z=-1.8 实际=219.0 均值=277.4; 单变量·转载机_减速器_油箱_油位 z=-1.9 实际=216.0 均值=277.4; 单变量·转载机_减速器_油箱_油位 z=-1.6 实际=226.0 均值=277.4,油温油位信号/链条速度恒量(数据质量),油温油位信号,转载机ZZJ
1004,2024-04-28 16:15:00,2024-04-28 17:17:00,63.0,带载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,9389.984,1638,195,转载机_减速器_油箱_油位,14,马氏·PC1→转载机_链条速度_RMS(100%); 单变量·转载机_减速器_冷却水_温度 z=-2.9 实际=28.6 均值=42.3; 单变量·转载机_减速器_油箱_油温 z=-3.4 实际=40.2 均值=63.6; 单变量·转载机_变频器_IGBT1温度 z=-4.3 实际=31.0 均值=47.1; 单变量·转载机_变频器_IGBT2温度 z=-4.3 实际=32.0 均值=46.8; 单变量·转载机_变频器_腔体温度 z=-4.3 实际=36.0 均值=52.1; 单变量·转载机_减速器_冷却水_温度 z=-2.8 实际=29.1 均值=42.3; 单变量·转载机_减速器_油箱_油温 z=-3.2 实际=41.8 均值=63.6,油温油位信号/链条速度恒量(数据质量),油温油位信号,转载机ZZJ
983,2024-04-28 06:44:00,2024-04-28 08:22:00,99.0,带载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,9389.248,2574,104,转载机_链条速度_RMS,5,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_变频器_IGBT2温度 偏高 实际=47.0 vs 预测=41.2; 残差·转载机_减速器_冷却水_温度 偏高 实际=44.5 vs 预测=39.5,链条速度恒量(数据质量),链条速度恒量(数据质量),转载机ZZJ
1928,2024-04-22 19:04:00,2024-04-22 19:05:00,2.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,9385.988,68,8,截割部位_右滚筒_电机_电流,11,残差·截割部位_右滚筒_电机_电流 偏高 实际=330.0 vs 预测=144.0; 残差·油泵_左油箱_油压 偏高 实际=19.3 vs 预测=2.6; 残差·油泵_左电机_电流 偏高 实际=50.0 vs 预测=17.0; 马氏·PC2→截割部位_右滚筒_电机_电流_RMS(94%); 马氏·PC3→牵引部位_左电机_电流_RMS(6%); 残差·截割部位_右滚筒_电机_温度 偏高 实际=71.0 vs 预测=51.2; 残差·油泵_右油箱_油压 偏高 实际=0.8 vs 预测=0.1; 残差·牵引部位_右电机_温度 偏高 实际=63.0 vs 预测=45.0,温度类/电流类,温度类,油泵
557,2024-04-16 06:19:00,2024-04-16 06:39:00,21.0,带载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,9381.287,546,43,转载机_链条速度_RMS,9,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_减速器_冷却水_温度 偏高 实际=44.9 vs 预测=37.1; 残差·转载机_减速器_油箱_油位 偏高 实际=302.0 vs 预测=241.2; 残差·转载机_电机_转速 偏高 实际=1401.0 vs 预测=848.2; 残差·转载机_链条速度 偏高 实际=2189.0 vs 预测=1326.2; 残差·转载机_电机_转速 偏高 实际=1399.0 vs 预测=848.6; 残差·转载机_链条速度 偏高 实际=2186.0 vs 预测=1327.2; 残差·转载机_电机_电流 偏高 实际=176.0 vs 预测=70.2,链条速度恒量(数据质量)/转速信号,链条速度恒量(数据质量),转载机ZZJ
1428,2024-05-11 18:16:00,2024-05-11 18:26:00,11.0,带载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,9380.375,286,11,转载机_链条速度_RMS,3,马氏·PC1→转载机_链条速度_RMS(100%),链条速度恒量(数据质量),链条速度恒量(数据质量),转载机ZZJ
979,2024-04-28 05:15:00,2024-04-28 05:32:00,18.0,带载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,9380.116,468,28,转载机_链条速度_RMS,8,马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_减速器_冷却水_温度 偏高 实际=44.3 vs 预测=36.4; 残差·转载机_减速器_油箱_油温 偏高 实际=74.2 vs 预测=62.5; 残差·转载机_变频器_IGBT1温度 偏高 实际=47.0 vs 预测=35.8; 残差·转载机_变频器_IGBT2温度 偏高 实际=47.0 vs 预测=35.6; 残差·转载机_变频器_腔体温度 偏高 实际=52.0 vs 预测=40.8,链条速度恒量(数据质量)/转速信号,链条速度恒量(数据质量),转载机ZZJ
1743,2024-04-14 08:13:00,2024-04-14 08:13:00,1.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,9170.47,38,2,牵引部位_位置米数,6,马氏·PC1→牵引部位_左电机_电压_RMS(77%); 马氏·PC3→截割部位_右滚筒_电机_电流_RMS(23%); 残差·牵引部位_位置米数 偏高 实际=225.7 vs 预测=67.5,进刀位置类,进刀位置类,牵引部
1426,2024-05-11 17:55:00,2024-05-11 18:01:00,7.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,9062.647,182,16,转载机_减速器_油箱_油位,6,马氏·PC1→转载机_链条速度_RMS(100%); 单变量·转载机_减速器_油箱_油位 z=3.3 实际=383.0 均值=277.4; 残差·转载机_减速器_冷却水_温度 偏高 实际=42.6 vs 预测=34.3; 残差·转载机_减速器_油箱_油温 偏高 实际=61.8 vs 预测=52.4; 单变量·转载机_减速器_油箱_油位 z=2.2 实际=350.0 均值=277.4; 单变量·转载机_减速器_油箱_油位 z=2.0 实际=342.0 均值=277.4; 单变量·转载机_减速器_油箱_油位 z=1.7 实际=331.0 均值=277.4; 单变量·转载机_减速器_油箱_油位 z=1.4 实际=324.0 均值=277.4,油温油位信号,油温油位信号,转载机ZZJ
1333,2024-05-08 19:48:00,2024-05-08 21:24:00,97.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,9014.463,2522,382,转载机_减速器_油箱_油位,15,马氏·PC1→转载机_链条速度_RMS(100%); 单变量·转载机_减速器_油箱_油位 z=2.0 实际=342.0 均值=277.4; 残差·转载机_减速器_冷却水_温度 偏高 实际=37.2 vs 预测=31.0; 残差·转载机_减速器_油箱_油位 偏高 实际=342.0 vs 预测=269.6; 残差·转载机_减速器_油箱_油温 偏高 实际=61.7 vs 预测=51.3; 残差·转载机_变频器_IGBT1温度 偏高 实际=41.0 vs 预测=31.4; 单变量·转载机_减速器_油箱_油位 z=1.9 实际=338.0 均值=277.4; 残差·转载机_减速器_冷却水_温度 偏高 实际=36.7 vs 预测=32.2,变频器热信号/负载信号,变频器热信号,转载机ZZJ
334,2024-04-03 06:58:00,2024-04-03 07:01:00,4.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8993.603,152,5,油泵_左电机_电流,9,残差·油泵_左电机_电流 偏高 实际=43.0 vs 预测=17.8; 马氏·PC1→牵引部位_左电机_电压_RMS(91%); 马氏·PC3→截割部位_右滚筒_电机_电流_RMS(7%); 马氏·PC4→牵引部位_位置米数_RMS(3%); 残差·油泵_右电机_电流 偏高 实际=53.0 vs 预测=17.0; 马氏·PC1→牵引部位_左电机_电压_RMS(92%); 马氏·PC4→牵引部位_位置米数_RMS(5%); 马氏·PC3→截割部位_右滚筒_电机_电流_RMS(4%),电流类/牵引电压开关量(数据质量),电流类,牵引部
1651,2024-04-14 12:53:00,2024-04-15 10:05:00,1273.0,割煤中位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8991.736,38190,3059,破碎机_电机_温度,19,马氏·PC1→破碎机_电机_温度_RMS(68%); 马氏·PC3→牵引部位_左电机_电流_RMS(21%); 马氏·PC2→截割部位_右滚筒_电机_电流_RMS(11%); 单变量·破碎机_电机_温度 z=2.4 实际=645.0 均值=134.8; 残差·破碎机_电机_温度 偏高 实际=645.0 vs 预测=35.0; 马氏·PC2→截割部位_右滚筒_电机_电流_RMS(48%); 马氏·PC1→破碎机_电机_温度_RMS(28%); 马氏·PC3→牵引部位_左电机_电流_RMS(16%),破碎机温度钳位(数据质量),破碎机温度钳位(数据质量),截割部
696,2024-04-20 19:20:00,2024-04-20 19:46:00,27.0,带载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8807.97,702,120,转载机_链条速度_RMS,13,单变量·转载机_减速器_油箱_油位 z=2.3 实际=503.0 均值=296.1; 残差·转载机_电机_电流 偏高 实际=255.0 vs 预测=98.2; 残差·转载机_电机_转矩 偏高 实际=105.0 vs 预测=35.2; 马氏·PC1→转载机_链条速度_RMS(100%); 单变量·转载机_减速器_油箱_油位 z=2.6 实际=531.0 均值=296.1; 单变量·转载机_变频器_IGBT1温度 z=2.9 实际=58.0 均值=47.1; 单变量·转载机_变频器_腔体温度 z=2.9 实际=63.0 均值=52.1; 残差·转载机_减速器_油箱_油位 偏高 实际=531.0 vs 预测=471.2,变频器热信号/链条速度恒量(数据质量),变频器热信号,转载机ZZJ
1088,2024-05-01 07:46:00,2024-05-01 10:16:00,151.0,带载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8752.002,3926,468,转载机_减速器_冷却水_温度,13,单变量·转载机_变频器_IGBT1温度 z=2.3 实际=56.0 均值=47.1; 单变量·转载机_变频器_腔体温度 z=2.3 实际=61.0 均值=52.1; 单变量·转载机_减速器_冷却水_温度 z=2.5 实际=54.4 均值=42.3; 单变量·转载机_变频器_IGBT1温度 z=2.6 实际=57.0 均值=47.1; 单变量·转载机_变频器_腔体温度 z=2.6 实际=62.0 均值=52.1; 单变量·转载机_减速器_冷却水_温度 z=3.0 实际=56.6 均值=42.3; 单变量·转载机_变频器_IGBT1温度 z=3.1 实际=59.0 均值=47.1; 单变量·转载机_变频器_腔体温度 z=3.1 实际=64.0 均值=52.1,变频器热信号/冷却水温度,变频器热信号,转载机ZZJ
1702,2024-05-23 04:26:00,2024-05-23 04:58:00,33.0,带载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8738.461,858,63,转载机_减速器_油箱_油位,8,马氏·PC1→转载机_链条速度_RMS(100%); 单变量·转载机_减速器_油箱_油位 z=-4.8 实际=121.0 均值=277.4; 残差·转载机_减速器_冷却水_温度 偏高 实际=41.9 vs 预测=37.7; 单变量·转载机_减速器_油箱_油位 z=-7.6 实际=32.0 均值=277.4; 单变量·转载机_减速器_油箱_油位 z=-6.1 实际=79.0 均值=277.4; 单变量·转载机_减速器_油箱_油位 z=-4.5 实际=131.0 均值=277.4; 单变量·转载机_减速器_油箱_油位 z=-3.2 实际=173.0 均值=277.4; 残差·转载机_减速器_油箱_油位 偏高 实际=173.0 vs 预测=101.0,油温油位信号,油温油位信号,转载机ZZJ
426,2024-04-12 00:23:00,2024-04-12 00:23:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8736.991,26,6,转载机_链条速度_RMS,7,IF·PC1→转载机_链条速度_RMS(100%); 马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_电机_电流 偏高 实际=48.0 vs 预测=0.0; 残差·转载机_电机_转矩 偏高 实际=11.0 vs 预测=0.0; 残差·转载机_电机_转速 偏高 实际=1205.0 vs 预测=0.0; 残差·转载机_链条速度 偏高 实际=1877.0 vs 预测=0.0,链条速度恒量(数据质量)/负载信号,链条速度恒量(数据质量),转载机ZZJ
1728,2024-05-23 21:39:00,2024-05-24 00:03:00,145.0,带载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8734.347,3770,374,转载机_链条速度_RMS,12,马氏·PC1→转载机_链条速度_RMS(100%); 单变量·转载机_变频器_IGBT1温度 z=2.3 实际=56.0 均值=47.1; 单变量·转载机_变频器_腔体温度 z=2.3 实际=61.0 均值=52.1; 残差·转载机_减速器_油箱_油位 偏高 实际=474.0 vs 预测=395.4; 单变量·转载机_变频器_IGBT2温度 z=2.7 实际=56.0 均值=46.8; 单变量·转载机_变频器_IGBT1温度 z=2.6 实际=57.0 均值=47.1; 单变量·转载机_变频器_IGBT2温度 z=2.9 实际=57.0 均值=46.8; 单变量·转载机_变频器_腔体温度 z=2.6 实际=62.0 均值=52.1,变频器热信号/链条速度恒量(数据质量),变频器热信号,转载机ZZJ
486,2024-04-14 05:33:00,2024-04-14 05:33:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,8731.693,26,7,转载机_链条速度_RMS,7,IF·PC1→转载机_链条速度_RMS(100%); 马氏·PC1→转载机_链条速度_RMS(100%); 残差·转载机_电机_电流 偏高 实际=47.0 vs 预测=0.0; 残差·转载机_电机_转矩 偏高 实际=10.0 vs 预测=0.0; 残差·转载机_电机_转速 偏高 实际=1204.0 vs 预测=0.0; 残差·转载机_链条速度 偏高 实际=1874.0 vs 预测=0.0,链条速度恒量(数据质量)/负载信号,链条速度恒量(数据质量),转载机ZZJ
