部位,事件数,旧有归因,旧覆盖率,新有归因,新覆盖率
截割部,2987,1686,0.5644459323736191,2730,0.9139604954804151
牵引部,3112,2485,0.7985218508997429,3025,0.9720437017994858
油泵,2491,1354,0.5435568044961863,2307,0.9261340826977118
破碎机,2473,1026,0.4148807116862111,1958,0.7917509098261222
转载机ZZJ,2024,1641,0.8107707509881423,1718,0.8488142292490118
