主成分,方差解释率,累积方差
PC1,0.5417585959504821,0.5417585959504821
PC2,0.26781920022898137,0.8095777961794635
PC3,0.1350029453130169,0.9445807414924804
PC4,0.025372519933574943,0.9699532614260553
