主成分,方差解释率,累积方差
PC1,0.805270630836252,0.805270630836252
PC2,0.08684586008962437,0.8921164909258764
PC3,0.03300703008070757,0.925123521006584
PC4,0.030391059283117194,0.9555145802897012
