主成分,方差解释率,累积方差
PC1,0.5418632265899057,0.5418632265899057
PC2,0.2678469991523363,0.8097102257422419
PC3,0.13498994107402057,0.9447001668162625
PC4,0.025376972652308295,0.9700771394685708
