工况,段数,总时长(min),平均段长(min),切换次数/小时
割煤中,2870,17885,6.2,4.39
待机,1052,17032,16.2,1.61
正常运行,2588,4170,1.6,3.96
空载牵引,66,97,1.5,0.1
