事件ID,开始时间,结束时间,时长_分钟,工况,方法集,严重度,触发行数,归因摘要
30,2024-04-01 08:35:00,2024-04-01 08:52:00,18.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,137.862,540,Mahalanobis 距离=137.9（阈值=18.5）。主要贡献特征：PC4 (84.8%); PC3 (13.7%); PC2 (1.5%)。
31,2024-04-01 08:54:00,2024-04-01 08:54:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.519,30,正常
32,2024-04-01 09:04:00,2024-04-01 09:04:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.26,30,正常
33,2024-04-01 09:08:00,2024-04-01 09:08:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,7.356,30,残差异常：采煤机_牵引部位_右电机_温度 偏高（残差 Z-score=7.4，实际=64.0 vs 预测=45.8）
34,2024-04-01 09:14:00,2024-04-01 09:14:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.036,30,正常
35,2024-04-01 09:21:00,2024-04-01 09:25:00,5.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,34.355,150,Mahalanobis 距离=34.4（阈值=18.5）。主要贡献特征：PC2 (66.1%); PC3 (32.1%); PC1 (1.2%)。
36,2024-04-01 09:41:00,2024-04-01 09:41:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1.254,30,正常
37,2024-04-01 09:43:00,2024-04-01 11:23:00,101.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1.78,3030,正常
38,2024-04-01 11:45:00,2024-04-01 11:45:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.429,30,残差异常：采煤机_油泵_右电机_温度 偏高（残差 Z-score=3.4，实际=44.0 vs 预测=40.0）
39,2024-04-01 12:00:00,2024-04-01 13:42:00,103.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,59.242,3090,Mahalanobis 距离=59.2（阈值=18.5）。主要贡献特征：PC4 (90.7%); PC3 (8.8%)。
40,2024-04-01 14:08:00,2024-04-01 14:08:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1.355,30,正常
41,2024-04-01 15:07:00,2024-04-01 15:07:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1.354,30,正常
42,2024-04-01 15:10:00,2024-04-01 15:11:00,2.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.606,60,残差异常：采煤机_破碎机_电机_电流 偏高（残差 Z-score=4.6，实际=28.0 vs 预测=0.0）
43,2024-04-01 15:40:00,2024-04-01 15:41:00,2.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.076,60,残差异常：采煤机_油泵_左电机_电流 偏高（残差 Z-score=6.1，实际=54.0 vs 预测=3.4）
44,2024-04-01 15:44:00,2024-04-01 15:44:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.232,30,残差异常：采煤机_牵引部位_右电机_温度 偏高（残差 Z-score=3.2，实际=49.0 vs 预测=41.0）
45,2024-04-01 15:47:00,2024-04-01 15:47:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.781,30,正常
46,2024-04-01 15:51:00,2024-04-01 15:51:00,1.0,空载运行,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.534,30,残差异常：采煤机_油泵_左电机_电流 偏高（残差 Z-score=3.5，实际=42.0 vs 预测=17.2）
