事件ID,开始时间,结束时间,时长_分钟,工况,方法集,严重度,触发行数,归因摘要
2594,2024-04-25 07:03:00,2024-04-25 07:03:00,1.0,割煤中位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.877,30,正常
2595,2024-04-25 07:08:00,2024-04-25 07:08:00,1.0,割煤中位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.469,30,残差异常：采煤机_截割部位_右滚筒_电机_电流 偏高（残差 Z-score=3.5，实际=199.0 vs 预测=78.0）
2596,2024-04-25 07:13:00,2024-04-25 07:13:00,1.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4050.607,30,Mahalanobis 距离=4050.6（阈值=18.5）。主要贡献特征：PC2 (79.5%); PC3 (19.6%)。
2597,2024-04-25 07:31:00,2024-04-25 07:33:00,3.0,待机-高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1919.978,90,Mahalanobis 距离=1920.0（阈值=18.5）。主要贡献特征：PC2 (64.1%); PC3 (35.8%)。
2598,2024-04-25 07:43:00,2024-04-25 07:44:00,2.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1960.481,60,Mahalanobis 距离=1960.5（阈值=18.5）。主要贡献特征：PC2 (60.9%); PC3 (39.1%)。
2599,2024-04-25 07:56:00,2024-04-25 07:56:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.463,30,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=4.5，实际=50.0 vs 预测=17.0）
2600,2024-04-25 08:06:00,2024-04-25 08:06:00,1.0,割煤中位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.251,30,正常
2601,2024-04-25 08:09:00,2024-04-25 08:09:00,1.0,割煤高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.273,30,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=4.3，实际=49.0 vs 预测=17.4）
2602,2024-04-25 08:35:00,2024-04-25 08:38:00,4.0,待机-高位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1946.866,120,Mahalanobis 距离=1946.9（阈值=18.5）。主要贡献特征：PC2 (69.7%); PC3 (30.3%)。
2603,2024-04-25 08:46:00,2024-04-25 08:49:00,4.0,调架中,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.761,120,正常
2604,2024-04-25 08:57:00,2024-04-25 08:58:00,2.0,割煤中位,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1.713,60,正常
