事件ID,开始时间,结束时间,时长_分钟,工况,方法集,严重度,触发行数,归因摘要
2232,2024-04-25 22:32:00,2024-04-25 22:32:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1117.57,34,Mahalanobis 距离=1117.6（阈值=18.5）。主要贡献特征：PC2 (59.0%); PC3 (40.7%)。
2233,2024-04-25 22:41:00,2024-04-25 22:42:00,2.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4299.913,68,Mahalanobis 距离=4299.9（阈值=18.5）。主要贡献特征：PC2 (79.7%); PC3 (20.1%)。
2234,2024-04-25 22:49:00,2024-04-25 22:50:00,2.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.883,68,残差异常：采煤机_油泵_左电机_电流 偏高（残差 Z-score=3.9，实际=46.0 vs 预测=17.6）
2235,2024-04-25 22:53:00,2024-04-25 22:55:00,3.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3214.243,102,Mahalanobis 距离=3214.2（阈值=18.5）。主要贡献特征：PC2 (70.6%); PC3 (29.4%)。
2236,2024-04-25 23:00:00,2024-04-25 23:02:00,3.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2873.707,102,Mahalanobis 距离=2873.7（阈值=18.5）。主要贡献特征：PC2 (69.0%); PC3 (31.0%)。
2237,2024-04-25 23:16:00,2024-04-25 23:16:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.559,34,正常
2238,2024-04-25 23:22:00,2024-04-25 23:26:00,5.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2670.369,170,Mahalanobis 距离=2670.4（阈值=18.5）。主要贡献特征：PC2 (71.9%); PC3 (27.6%)。
2239,2024-04-25 23:33:00,2024-04-25 23:34:00,2.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.661,68,正常
2240,2024-04-25 23:43:00,2024-04-25 23:43:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.026,34,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=6.0，实际=56.0 vs 预测=17.0）
2241,2024-04-25 23:46:00,2024-04-25 23:54:00,9.0,轻载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4882.04,306,Mahalanobis 距离=4882.0（阈值=18.5）。主要贡献特征：PC2 (67.2%); PC3 (32.3%)。
2242,2024-04-26 00:04:00,2024-04-26 00:04:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.622,34,正常
2243,2024-04-26 00:09:00,2024-04-26 00:09:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.214,34,正常
2244,2024-04-26 00:12:00,2024-04-26 00:12:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.436,34,正常
2245,2024-04-26 00:14:00,2024-04-26 00:14:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.43,34,残差异常：采煤机_油泵_左电机_电流 偏高（残差 Z-score=4.4，实际=49.0 vs 预测=16.6）
2246,2024-04-26 00:17:00,2024-04-26 00:17:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.481,34,残差异常：采煤机_破碎机_电机_电流 偏高（残差 Z-score=4.5，实际=50.0 vs 预测=0.0）
2247,2024-04-26 00:22:00,2024-04-26 00:22:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.809,34,残差异常：采煤机_油泵_左电机_电流 偏高（残差 Z-score=6.8，实际=66.0 vs 预测=16.2）
2248,2024-04-26 00:24:00,2024-04-26 00:27:00,4.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.872,136,正常
2249,2024-04-26 00:30:00,2024-04-26 00:31:00,2.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.697,68,正常
2250,2024-04-26 00:34:00,2024-04-26 00:34:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.511,34,正常
2251,2024-04-26 00:39:00,2024-04-26 00:41:00,3.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2.771,102,单变量异常：采煤机_油泵_右油箱_油压（z-score=2.8，实际=10.5，均值=3.0±2.7）
2252,2024-04-26 00:44:00,2024-04-26 00:44:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2532.715,34,Mahalanobis 距离=2532.7（阈值=18.5）。主要贡献特征：PC2 (76.1%); PC3 (23.3%)。
2253,2024-04-26 00:47:00,2024-04-26 00:47:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.214,34,正常
2254,2024-04-26 00:57:00,2024-04-26 00:57:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.067,34,正常
2255,2024-04-26 01:03:00,2024-04-26 01:05:00,3.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.774,102,正常
2256,2024-04-26 01:10:00,2024-04-26 01:13:00,4.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1395.757,136,Mahalanobis 距离=1395.8（阈值=18.5）。主要贡献特征：PC2 (62.1%); PC3 (37.4%)。
2257,2024-04-26 01:20:00,2024-04-26 01:20:00,1.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.341,34,正常
2258,2024-04-26 01:25:00,2024-04-26 01:27:00,3.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2862.754,102,Mahalanobis 距离=2862.8（阈值=18.5）。主要贡献特征：PC2 (71.0%); PC3 (28.9%)。
2259,2024-04-26 01:32:00,2024-04-26 01:38:00,7.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4360.959,238,Mahalanobis 距离=4361.0（阈值=18.5）。主要贡献特征：PC2 (91.2%); PC4 (8.0%)。
2260,2024-04-26 01:40:00,2024-04-26 01:41:00,2.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3257.617,68,Mahalanobis 距离=3257.6（阈值=18.5）。主要贡献特征：PC2 (81.2%); PC3 (18.4%)。
2261,2024-04-26 01:46:00,2024-04-26 01:51:00,6.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.029,204,正常
2262,2024-04-26 01:53:00,2024-04-26 01:55:00,3.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.637,102,单变量异常：采煤机_油泵_左油箱_油压（z-score=6.6，实际=23.8，均值=3.3±3.1）
2263,2024-04-26 02:00:00,2024-04-26 02:12:00,13.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.25,442,正常
2264,2024-04-26 02:47:00,2024-04-26 02:50:00,4.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3142.325,136,Mahalanobis 距离=3142.3（阈值=18.5）。主要贡献特征：PC2 (62.2%); PC3 (37.4%)。
2265,2024-04-26 02:55:00,2024-04-26 02:58:00,4.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.066,136,正常
2266,2024-04-26 03:00:00,2024-04-26 03:04:00,5.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2128.578,170,Mahalanobis 距离=2128.6（阈值=18.5）。主要贡献特征：PC2 (67.1%); PC3 (32.7%)。
2267,2024-04-26 03:06:00,2024-04-26 03:10:00,5.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.542,170,正常
2268,2024-04-26 03:15:00,2024-04-26 03:17:00,3.0,重载,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4.952,102,单变量异常：采煤机_油泵_左油箱_油压（z-score=5.0，实际=18.6，均值=3.3±3.1）
