事件ID,开始时间,结束时间,时长_分钟,工况,方法集,严重度,触发行数,归因摘要
2044,2024-04-20 00:26:00,2024-04-20 00:26:00,1.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.768,38,残差异常：采煤机_截割部位_右滚筒_电机_电流 偏高（残差 Z-score=3.8，实际=209.0 vs 预测=69.6）
2045,2024-04-20 00:31:00,2024-04-20 00:31:00,1.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.631,38,正常
2046,2024-04-20 00:34:00,2024-04-20 00:35:00,2.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3305.503,76,Mahalanobis 距离=3305.5（阈值=18.5）。主要贡献特征：PC1 (50.7%); PC3 (48.6%)。
2047,2024-04-20 00:50:00,2024-04-20 00:51:00,2.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3518.396,76,Mahalanobis 距离=3518.4（阈值=18.5）。主要贡献特征：PC1 (70.0%); PC3 (29.9%)。
2048,2024-04-20 00:54:00,2024-04-20 00:55:00,2.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1303.211,76,Mahalanobis 距离=1303.2（阈值=18.5）。主要贡献特征：PC1 (79.2%); PC3 (20.6%)。
2049,2024-04-20 00:58:00,2024-04-20 00:58:00,1.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.934,38,正常
2050,2024-04-20 01:01:00,2024-04-20 01:01:00,1.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.389,38,残差异常：采煤机_破碎机_电机_电流 偏高（残差 Z-score=3.4，实际=38.0 vs 预测=0.0）
2051,2024-04-20 01:04:00,2024-04-20 01:05:00,2.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6085.657,76,Mahalanobis 距离=6085.7（阈值=18.5）。主要贡献特征：PC1 (96.6%); PC4 (2.3%); PC3 (1.2%)。
2052,2024-04-20 01:08:00,2024-04-20 01:14:00,7.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5218.093,266,Mahalanobis 距离=5218.1（阈值=18.5）。主要贡献特征：PC1 (96.2%); PC4 (3.4%)。
2053,2024-04-20 01:16:00,2024-04-20 01:30:00,15.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3533.325,570,Mahalanobis 距离=3533.3（阈值=18.5）。主要贡献特征：PC1 (76.3%); PC3 (19.3%); PC4 (4.4%)。
2054,2024-04-20 01:50:00,2024-04-20 01:50:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1568.667,38,Mahalanobis 距离=1568.7（阈值=18.5）。主要贡献特征：PC1 (94.9%); PC3 (4.5%)。
2055,2024-04-20 01:52:00,2024-04-20 01:52:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1331.974,38,Mahalanobis 距离=1332.0（阈值=18.5）。主要贡献特征：PC1 (92.5%); PC3 (7.1%)。
2056,2024-04-20 01:59:00,2024-04-20 01:59:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,2455.506,38,Mahalanobis 距离=2455.5（阈值=18.5）。主要贡献特征：PC1 (99.3%)。
2057,2024-04-20 02:05:00,2024-04-20 02:05:00,1.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3.356,38,残差异常：采煤机_截割部位_左滚筒_电机_电流 偏高（残差 Z-score=3.4，实际=217.0 vs 预测=81.8）
2058,2024-04-20 02:12:00,2024-04-20 02:12:00,1.0,停机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,1452.171,38,Mahalanobis 距离=1452.2（阈值=18.5）。主要贡献特征：PC1 (84.0%); PC3 (15.4%)。
2059,2024-04-20 02:14:00,2024-04-20 02:14:00,1.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,6.861,38,正常
2060,2024-04-20 02:19:00,2024-04-20 02:27:00,9.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,9947.334,342,Mahalanobis 距离=9947.3（阈值=18.5）。主要贡献特征：PC1 (80.9%); PC3 (16.8%); PC4 (2.3%)。
2061,2024-04-20 02:32:00,2024-04-20 02:32:00,1.0,重载牵引,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,5.062,38,残差异常：采煤机_油泵_右电机_电流 偏高（残差 Z-score=5.1，实际=51.0 vs 预测=17.4）
2062,2024-04-20 02:40:00,2024-04-20 02:40:00,1.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,3729.815,38,Mahalanobis 距离=3729.8（阈值=18.5）。主要贡献特征：PC1 (62.8%); PC3 (36.5%)。
2063,2024-04-20 02:43:00,2024-04-20 02:44:00,2.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4031.724,76,Mahalanobis 距离=4031.7（阈值=18.5）。主要贡献特征：PC1 (70.7%); PC3 (28.7%)。
2064,2024-04-20 02:46:00,2024-04-20 02:46:00,1.0,待机,IsolationForest; Mahalanobis; 单变量IQR+3σ; 残差,4087.612,38,Mahalanobis 距离=4087.6（阈值=18.5）。主要贡献特征：PC1 (71.9%); PC3 (27.7%)。
