段起始时间,段结束时间,持续时间(min),工况,是否异常,异常原因,段索引,分段号
2024-04-01 07:07:00,2024-04-01 07:07:00,1,调架中,False,正常,74,3
2024-04-01 07:08:00,2024-04-01 07:08:00,1,割煤中位,False,正常,75,3
2024-04-01 07:09:00,2024-04-01 07:24:00,16,待机,False,正常,76,3
2024-04-01 07:25:00,2024-04-01 07:26:00,2,割煤中位,False,正常,77,3
2024-04-01 07:27:00,2024-04-01 07:34:00,8,待机,False,正常,78,3
2024-04-01 07:35:00,2024-04-01 07:36:00,2,割煤中位,False,正常,79,3
2024-04-01 07:37:00,2024-04-01 07:41:00,5,待机,False,正常,80,3
2024-04-01 07:42:00,2024-04-01 07:44:00,3,割煤中位,False,正常,81,3
2024-04-01 07:45:00,2024-04-01 07:46:00,2,调架中,False,正常,82,3
2024-04-01 07:47:00,2024-04-01 07:48:00,2,割煤中位,False,正常,83,3
2024-04-01 07:49:00,2024-04-01 07:51:00,3,待机,False,正常,84,3
2024-04-01 07:52:00,2024-04-01 07:53:00,2,割煤中位,False,正常,85,3
2024-04-01 07:54:00,2024-04-01 07:55:00,2,待机,False,正常,86,3
2024-04-01 07:56:00,2024-04-01 07:56:00,1,割煤中位,False,正常,87,3
2024-04-01 07:57:00,2024-04-01 07:58:00,2,调架中,False,正常,88,3
2024-04-01 07:59:00,2024-04-01 07:59:00,1,割煤中位,False,正常,89,3
2024-04-01 08:00:00,2024-04-01 08:03:00,4,待机,False,正常,90,3
2024-04-01 08:04:00,2024-04-01 08:05:00,2,割煤中位,False,正常,91,3
2024-04-01 08:06:00,2024-04-01 08:06:00,1,割煤高位,False,正常,92,3
2024-04-01 08:07:00,2024-04-01 08:07:00,1,待机-高位,False,正常,93,3
2024-04-01 08:08:00,2024-04-01 08:08:00,1,割煤高位,False,正常,94,3
2024-04-01 08:09:00,2024-04-01 08:10:00,2,调架中,False,正常,95,3
2024-04-01 08:11:00,2024-04-01 08:12:00,2,割煤中位,False,正常,96,3
2024-04-01 08:13:00,2024-04-01 08:16:00,4,调架中,False,正常,97,3
2024-04-01 08:17:00,2024-04-01 08:17:00,1,割煤中位,False,正常,98,3
2024-04-01 08:18:00,2024-04-01 08:19:00,2,调架中,False,正常,99,3
2024-04-01 08:20:00,2024-04-01 08:21:00,2,割煤中位,False,正常,100,3
2024-04-01 08:22:00,2024-04-01 08:27:00,6,调架中,False,正常,101,3
2024-04-01 08:28:00,2024-04-01 08:28:00,1,割煤中位,False,正常,102,3
2024-04-01 08:29:00,2024-04-01 08:30:00,2,调架中,False,正常,103,3
2024-04-01 08:31:00,2024-04-01 08:34:00,4,待机,False,正常,104,3
2024-04-01 08:35:00,2024-04-01 08:48:00,14,调架中,False,正常,105,3
2024-04-01 08:49:00,2024-04-01 08:51:00,3,割煤中位,False,正常,106,3
2024-04-01 08:52:00,2024-04-01 08:53:00,2,调架中,False,正常,107,3
2024-04-01 08:54:00,2024-04-01 08:56:00,3,割煤中位,False,正常,108,3
2024-04-01 08:57:00,2024-04-01 08:57:00,1,调架中,False,正常,109,3
2024-04-01 08:58:00,2024-04-01 09:06:00,9,割煤中位,False,正常,110,3
2024-04-01 09:07:00,2024-04-01 09:07:00,1,调架中,False,正常,111,3
2024-04-01 09:08:00,2024-04-01 09:14:00,7,割煤中位,False,正常,112,3
2024-04-01 09:15:00,2024-04-01 09:15:00,1,调架中,False,正常,113,3
2024-04-01 09:16:00,2024-04-01 09:20:00,5,待机,False,正常,114,3
2024-04-01 09:21:00,2024-04-01 09:21:00,1,调架中,False,正常,115,3
2024-04-01 09:22:00,2024-04-01 11:23:00,122,待机,False,正常,116,3
2024-04-01 11:24:00,2024-04-01 11:24:00,1,调架中,False,正常,117,3
2024-04-01 11:25:00,2024-04-01 11:25:00,1,割煤中位,False,正常,118,3
2024-04-01 11:26:00,2024-04-01 11:26:00,1,待机,False,正常,119,3
2024-04-01 11:27:00,2024-04-01 11:30:00,4,割煤中位,False,正常,120,3
2024-04-01 11:31:00,2024-04-01 11:35:00,5,待机,False,正常,121,3
2024-04-01 11:36:00,2024-04-01 11:37:00,2,割煤中位,False,正常,122,3
2024-04-01 11:38:00,2024-04-01 11:39:00,2,调架中,False,正常,123,3
2024-04-01 11:40:00,2024-04-01 11:59:00,20,待机,False,正常,124,3
2024-04-01 12:00:00,2024-04-01 13:35:00,96,停机,False,正常,125,3
2024-04-01 13:36:00,2024-04-01 15:07:00,92,待机,False,正常,126,3
2024-04-01 15:08:00,2024-04-01 15:08:00,1,调架中,False,正常,127,3
2024-04-01 15:09:00,2024-04-01 15:09:00,1,割煤中位,False,正常,128,3
2024-04-01 15:10:00,2024-04-01 15:10:00,1,调架中,False,正常,129,3
2024-04-01 15:11:00,2024-04-01 15:12:00,2,割煤中位,False,正常,130,3
2024-04-01 15:13:00,2024-04-01 15:14:00,2,调架中,False,正常,131,3
2024-04-01 15:15:00,2024-04-01 15:15:00,1,待机,False,正常,132,3
2024-04-01 15:16:00,2024-04-01 15:16:00,1,停机,False,正常,133,3
2024-04-01 15:17:00,2024-04-01 15:38:00,22,待机,False,正常,134,3
2024-04-01 15:39:00,2024-04-01 15:39:00,1,调架中,False,正常,135,3
2024-04-01 15:40:00,2024-04-01 15:40:00,1,割煤中位,False,正常,136,3
2024-04-01 15:41:00,2024-04-01 15:42:00,2,调架中,False,正常,137,3
2024-04-01 15:43:00,2024-04-01 15:46:00,4,割煤中位,False,正常,138,3
2024-04-01 15:47:00,2024-04-01 15:48:00,2,待机,False,正常,139,3
2024-04-01 15:49:00,2024-04-01 15:49:00,1,割煤中位,False,正常,140,3
2024-04-01 15:50:00,2024-04-01 15:50:00,1,调架中,False,正常,141,3
2024-04-01 15:51:00,2024-04-01 15:52:00,2,割煤中位,False,正常,142,3
2024-04-01 15:53:00,2024-04-01 15:53:00,1,待机,False,正常,143,3
2024-04-01 15:54:00,2024-04-01 15:56:00,3,割煤中位,False,正常,144,3
2024-04-01 15:57:00,2024-04-01 15:57:00,1,调架中,False,正常,145,3
2024-04-01 15:58:00,2024-04-01 15:59:00,2,割煤中位,False,正常,146,3
2024-04-01 16:00:00,2024-04-01 16:03:00,4,待机,False,正常,147,3
2024-04-01 16:04:00,2024-04-01 16:10:00,7,割煤中位,False,正常,148,3
2024-04-01 16:11:00,2024-04-01 16:11:00,1,调架中,False,正常,149,3
2024-04-01 16:12:00,2024-04-01 16:15:00,4,割煤中位,False,正常,150,3
2024-04-01 16:16:00,2024-04-01 16:16:00,1,调架中,False,正常,151,3
2024-04-01 16:17:00,2024-04-01 16:17:00,1,割煤中位,False,正常,152,3
2024-04-01 16:18:00,2024-04-01 16:18:00,1,调架中,False,正常,153,3
2024-04-01 16:19:00,2024-04-01 16:25:00,7,割煤中位,False,正常,154,3
2024-04-01 16:26:00,2024-04-01 16:26:00,1,调架中,False,正常,155,3
2024-04-01 16:27:00,2024-04-01 16:29:00,3,割煤中位,False,正常,156,3
2024-04-01 16:30:00,2024-04-01 16:30:00,1,割煤高位,False,正常,157,3
2024-04-01 16:31:00,2024-04-01 16:32:00,2,调架中,False,正常,158,3
2024-04-01 16:33:00,2024-04-01 16:33:00,1,割煤高位,False,正常,159,3
2024-04-01 16:34:00,2024-04-01 16:39:00,6,割煤中位,False,正常,160,3
2024-04-01 16:40:00,2024-04-01 16:42:00,3,割煤高位,False,正常,161,3
2024-04-01 16:43:00,2024-04-01 16:44:00,2,割煤中位,False,正常,162,3
2024-04-01 16:45:00,2024-04-01 16:45:00,1,调架中,False,正常,163,3
2024-04-01 16:46:00,2024-04-01 16:55:00,10,待机,False,正常,164,3
2024-04-01 16:56:00,2024-04-01 17:04:00,9,割煤中位,False,正常,165,3
2024-04-01 17:05:00,2024-04-01 17:05:00,1,调架中,False,正常,166,3
2024-04-01 17:06:00,2024-04-01 17:14:00,9,割煤中位,False,正常,167,3
2024-04-01 17:15:00,2024-04-01 17:16:00,2,割煤高位,False,正常,168,3
2024-04-01 17:17:00,2024-04-01 17:17:00,1,调架中,False,正常,169,3
2024-04-01 17:18:00,2024-04-01 17:20:00,3,割煤高位,False,正常,170,3
2024-04-01 17:21:00,2024-04-01 17:21:00,1,调架中,False,正常,171,3
2024-04-01 17:22:00,2024-04-01 17:22:00,1,割煤高位,False,正常,172,3
2024-04-01 17:23:00,2024-04-01 17:23:00,1,调架中,False,正常,173,3
2024-04-01 17:24:00,2024-04-01 17:30:00,7,割煤高位,False,正常,174,3
2024-04-01 17:31:00,2024-04-01 17:33:00,3,割煤中位,False,正常,175,3
2024-04-01 17:34:00,2024-04-01 17:51:00,18,待机-高位,False,正常,176,3
2024-04-01 17:52:00,2024-04-01 17:54:00,3,割煤中位,False,正常,177,3
2024-04-01 17:55:00,2024-04-01 17:56:00,2,割煤高位,False,正常,178,3
2024-04-01 17:57:00,2024-04-01 17:57:00,1,割煤中位,False,正常,179,3
2024-04-01 17:58:00,2024-04-01 17:59:00,2,割煤高位,False,正常,180,3
2024-04-01 18:00:00,2024-04-01 18:02:00,3,割煤中位,False,正常,181,3
2024-04-01 18:03:00,2024-04-01 18:04:00,2,割煤高位,False,正常,182,3
2024-04-01 18:05:00,2024-04-01 18:05:00,1,割煤低位,False,正常,183,3
2024-04-01 18:06:00,2024-04-01 18:08:00,3,割煤高位,False,正常,184,3
2024-04-01 18:09:00,2024-04-01 18:13:00,5,割煤中位,False,正常,185,3
2024-04-01 18:14:00,2024-04-01 18:17:00,4,割煤高位,False,正常,186,3
2024-04-01 18:18:00,2024-04-01 18:18:00,1,调架中,False,正常,187,3
2024-04-01 18:19:00,2024-04-01 18:21:00,3,割煤中位,False,正常,188,3
2024-04-01 18:22:00,2024-04-01 18:30:00,9,割煤高位,False,正常,189,3
2024-04-01 18:31:00,2024-04-01 18:31:00,1,调架中,False,正常,190,3
2024-04-01 18:32:00,2024-04-01 18:37:00,6,割煤中位,False,正常,191,3
2024-04-01 18:38:00,2024-04-01 18:38:00,1,调架中,False,正常,192,3
2024-04-01 18:39:00,2024-04-01 18:39:00,1,割煤中位,False,正常,193,3
2024-04-01 18:40:00,2024-04-01 18:42:00,3,调架中,False,正常,194,3
2024-04-01 18:43:00,2024-04-01 18:48:00,6,割煤中位,False,正常,195,3
2024-04-01 18:49:00,2024-04-01 18:49:00,1,调架中,False,正常,196,3
2024-04-01 18:50:00,2024-04-01 18:51:00,2,待机,False,正常,197,3
2024-04-01 18:52:00,2024-04-01 18:53:00,2,割煤中位,False,正常,198,3
2024-04-01 18:54:00,2024-04-01 18:54:00,1,调架中,False,正常,199,3
2024-04-01 18:55:00,2024-04-01 18:57:00,3,待机,False,正常,200,3
2024-04-01 18:58:00,2024-04-01 18:58:00,1,调架中,False,正常,201,3
2024-04-01 18:59:00,2024-04-01 19:01:00,3,割煤中位,False,正常,202,3
2024-04-01 19:02:00,2024-04-01 19:03:00,2,调架中,False,正常,203,3
2024-04-01 19:04:00,2024-04-01 19:06:00,3,割煤中位,False,正常,204,3
2024-04-01 19:07:00,2024-04-01 19:08:00,2,调架中,False,正常,205,3
2024-04-01 19:09:00,2024-04-01 19:17:00,9,待机,False,正常,206,3
2024-04-01 19:18:00,2024-04-01 19:20:00,3,割煤中位,False,正常,207,3
2024-04-01 19:21:00,2024-04-01 19:22:00,2,割煤高位,False,正常,208,3
2024-04-01 19:23:00,2024-04-01 19:27:00,5,割煤中位,False,正常,209,3
2024-04-01 19:28:00,2024-04-01 19:28:00,1,调架中,False,正常,210,3
2024-04-01 19:29:00,2024-04-01 19:29:00,1,割煤中位,False,正常,211,3
2024-04-01 19:30:00,2024-04-01 19:33:00,4,割煤高位,False,正常,212,3
2024-04-01 19:34:00,2024-04-01 19:40:00,7,割煤中位,False,正常,213,3
2024-04-01 19:41:00,2024-04-01 19:41:00,1,调架中,False,正常,214,3
2024-04-01 19:42:00,2024-04-01 19:44:00,3,割煤中位,False,正常,215,3
2024-04-01 19:45:00,2024-04-01 19:45:00,1,调架中,False,正常,216,3
2024-04-01 19:46:00,2024-04-01 19:49:00,4,割煤中位,False,正常,217,3
2024-04-01 19:50:00,2024-04-01 19:50:00,1,调架中,False,正常,218,3
2024-04-01 19:51:00,2024-04-01 19:51:00,1,割煤中位,False,正常,219,3
2024-04-01 19:52:00,2024-04-01 19:53:00,2,调架中,False,正常,220,3
