特征名,重要性,累积重要性
采煤机_牵引部位_左电机_温度,0.33968998327457633,0.33968998327457633
采煤机_牵引部位_右电机_温度,0.2941108859671783,0.6338008692417547
采煤机_牵引部位_采煤机速度,0.21961664996145416,0.8534175192032089
采煤机_牵引部位_右电机_电流,0.09806631255519715,0.951483831758406
采煤机_牵引部位_左电机_电流,0.04851616824159412,1.0000000000000002
