切换类型,切换次数,平均持续帧数,采煤机_截割部位_右滚筒_运行状态_切换前均值,采煤机_截割部位_右滚筒_运行状态_切换后均值,采煤机_截割部位_左滚筒_运行状态_切换前均值,采煤机_截割部位_左滚筒_运行状态_切换后均值,采煤机_截割部位_右滚筒_电机_运行状态_切换前均值,采煤机_截割部位_右滚筒_电机_运行状态_切换后均值,采煤机_截割部位_左滚筒_电机_运行状态_切换前均值,采煤机_截割部位_左滚筒_电机_运行状态_切换后均值,采煤机_牵引部位_右电机_运行状态_切换前均值,采煤机_牵引部位_右电机_运行状态_切换后均值,采煤机_牵引部位_左电机_运行状态_切换前均值,采煤机_牵引部位_左电机_运行状态_切换后均值,采煤机_油泵_右电机_运行状态_切换前均值,采煤机_油泵_右电机_运行状态_切换后均值,采煤机_油泵_左电机_运行状态_切换前均值,采煤机_油泵_左电机_运行状态_切换后均值,采煤机_破碎机_电机_运行状态_切换前均值,采煤机_破碎机_电机_运行状态_切换后均值,采煤机_牵引部位_采煤机速度_切换前均值,采煤机_牵引部位_采煤机速度_切换后均值,采煤机_牵引部位_方向_切换前均值,采煤机_牵引部位_方向_切换后均值,采煤机_牵引部位_位置架号_切换前均值,采煤机_牵引部位_位置架号_切换后均值,采煤机_截割部位_右滚筒_高度_切换前均值,采煤机_截割部位_右滚筒_高度_切换后均值,采煤机_截割部位_左滚筒_高度_切换前均值,采煤机_截割部位_左滚筒_高度_切换后均值,采煤机_截割部位_右摇臂_角度_切换前均值,采煤机_截割部位_右摇臂_角度_切换后均值,采煤机_截割部位_左摇臂_角度_切换前均值,采煤机_截割部位_左摇臂_角度_切换后均值,采煤机_牵引部位_记忆割煤状态_切换前均值,采煤机_牵引部位_记忆割煤状态_切换后均值,采煤机_截割部位_右滚筒_电机_电流_切换前均值,采煤机_截割部位_右滚筒_电机_电流_切换后均值,采煤机_截割部位_左滚筒_电机_电流_切换前均值,采煤机_截割部位_左滚筒_电机_电流_切换后均值,采煤机_截割部位_右滚筒_电机_温度_切换前均值,采煤机_截割部位_右滚筒_电机_温度_切换后均值,采煤机_截割部位_左滚筒_电机_温度_切换前均值,采煤机_截割部位_左滚筒_电机_温度_切换后均值,采煤机_牵引部位_右电机_电流_切换前均值,采煤机_牵引部位_右电机_电流_切换后均值,采煤机_牵引部位_左电机_电流_切换前均值,采煤机_牵引部位_左电机_电流_切换后均值,采煤机_牵引部位_右电机_温度_切换前均值,采煤机_牵引部位_右电机_温度_切换后均值,采煤机_牵引部位_左电机_温度_切换前均值,采煤机_牵引部位_左电机_温度_切换后均值,采煤机_牵引部位_右电机_电压_切换前均值,采煤机_牵引部位_右电机_电压_切换后均值,采煤机_牵引部位_左电机_电压_切换前均值,采煤机_牵引部位_左电机_电压_切换后均值,采煤机_牵引部位_位置米数_切换前均值,采煤机_牵引部位_位置米数_切换后均值,采煤机_破碎机_电机_电流_切换前均值,采煤机_破碎机_电机_电流_切换后均值,采煤机_破碎机_电机_温度_切换前均值,采煤机_破碎机_电机_温度_切换后均值,采煤机_油泵_右电机_电流_切换前均值,采煤机_油泵_右电机_电流_切换后均值,采煤机_油泵_左电机_电流_切换前均值,采煤机_油泵_左电机_电流_切换后均值,采煤机_油泵_右电机_温度_切换前均值,采煤机_油泵_右电机_温度_切换后均值,采煤机_油泵_左电机_温度_切换前均值,采煤机_油泵_左电机_温度_切换后均值,采煤机_油泵_右油箱_油压_切换前均值,采煤机_油泵_右油箱_油压_切换后均值,采煤机_油泵_左油箱_油压_切换前均值,采煤机_油泵_左油箱_油压_切换后均值,采煤机_采煤机倾角_俯仰角_切换前均值,采煤机_采煤机倾角_俯仰角_切换后均值
割煤高位→待机-高位,177,6.29,0.92,0.74,0.94,0.75,1.99,2.25,1.91,2.18,0.95,0.79,1.09,0.93,1.27,1.06,1.62,1.33,0.88,0.96,6.11,4.98,-0.01,-0.01,94.92,94.94,2.85,2.9,2.86,2.95,8.99,10.01,9.07,10.28,0.84,0.84,89.15,72.99,87.17,70.11,68.15,68.24,72.55,72.52,114.8,93.89,114.41,93.44,66.0,66.15,65.51,65.68,831.24,798.34,837.21,805.94,193.58,193.92,8.37,6.5,71.56,71.65,17.67,14.37,17.66,14.51,50.76,50.82,52.41,52.45,2.97,2.45,3.3,2.8,0.72,0.74
割煤高位→调架中,1074,1.31,0.95,0.96,0.95,0.97,1.97,1.98,1.91,1.92,0.99,1.02,1.16,1.23,1.3,1.32,1.65,1.67,0.97,0.98,6.12,5.05,0.12,0.11,86.66,86.27,3.34,3.41,2.44,2.46,12.11,12.75,6.98,7.85,0.86,0.86,88.95,86.01,92.75,90.11,67.62,67.73,72.62,72.77,117.82,109.54,117.91,110.13,65.87,66.17,65.47,65.79,840.23,852.97,845.69,857.99,177.48,176.67,8.28,8.51,88.11,88.22,18.14,18.31,17.95,18.26,50.76,50.87,52.24,52.33,3.09,3.1,3.28,3.37,0.7,0.7
待机-高位→停机,13,10.62,0.08,0.05,0.09,0.05,1.46,1.25,1.18,0.97,0.57,0.48,0.57,0.48,0.4,0.32,0.38,0.32,0.49,0.43,0.07,0.07,-0.05,-0.05,117.37,117.43,2.98,2.87,2.67,2.57,8.54,8.0,8.29,7.97,0.57,0.52,21.15,19.12,13.69,2.98,53.85,51.86,55.71,53.69,4.62,3.12,4.62,3.0,48.29,46.34,47.34,45.42,180.46,178.77,187.85,187.54,240.87,232.67,0.0,0.0,38.83,37.48,2.57,1.83,2.78,1.75,43.89,42.28,44.98,43.37,0.58,0.47,0.83,0.46,1.0,0.97
待机-高位→割煤中位,78,3.53,0.47,0.52,0.47,0.52,2.28,2.26,2.26,2.24,0.52,0.55,0.56,0.59,0.74,0.73,0.88,0.82,0.97,0.92,2.47,2.97,0.01,0.06,94.42,94.15,3.06,3.07,2.02,1.91,5.7,4.91,1.66,0.91,0.83,0.83,38.3,43.11,49.81,54.7,65.22,65.18,70.23,70.21,49.82,56.89,49.0,56.16,61.99,61.56,61.45,60.98,597.74,631.26,608.64,641.9,193.39,192.83,4.34,3.93,77.51,77.49,9.82,10.64,9.9,10.76,49.02,48.85,50.67,50.54,1.7,1.75,1.97,2.14,0.57,0.58
待机-高位→割煤高位,177,3.88,0.44,0.51,0.46,0.52,2.14,2.12,2.05,2.03,0.5,0.55,0.68,0.7,0.74,0.74,0.88,0.85,0.92,0.86,2.69,3.21,0.0,-0.0,88.24,88.24,3.25,3.25,2.67,2.78,12.13,12.76,9.2,10.24,0.78,0.79,39.4,46.62,42.82,48.83,66.34,66.34,70.46,70.45,50.64,63.17,50.65,62.21,63.59,63.15,62.89,62.4,597.25,637.19,606.62,646.08,180.08,180.38,4.3,4.39,77.77,77.63,10.12,11.09,10.27,11.6,49.75,49.56,51.15,51.01,1.8,1.93,1.92,2.22,0.74,0.73
待机-高位→待机,11,3.36,0.24,0.16,0.24,0.16,1.4,1.49,2.25,2.4,0.87,1.02,0.93,1.15,1.25,1.55,1.29,1.56,1.2,1.27,0.96,0.5,0.11,0.07,75.71,75.29,3.48,3.22,1.83,1.42,8.42,6.95,2.71,3.05,0.4,0.38,18.75,12.15,19.33,12.69,59.0,58.78,63.02,62.56,23.82,15.36,22.84,14.95,55.95,55.35,55.8,55.18,348.73,335.82,356.0,342.91,154.61,153.67,1.09,1.09,50.53,50.31,4.82,4.47,5.25,4.18,46.6,46.16,47.64,47.27,0.76,0.82,1.12,0.75,0.19,0.21
待机-高位→调架中,147,1.22,0.34,0.38,0.35,0.44,2.19,2.18,2.1,2.1,0.51,0.44,0.64,0.56,0.68,0.72,0.83,0.83,0.99,0.97,1.92,1.26,-0.02,-0.01,84.96,85.0,2.87,2.89,2.74,2.77,8.46,8.71,8.32,8.49,0.78,0.78,31.38,48.12,32.59,45.54,65.11,64.96,68.67,68.43,39.05,29.29,39.04,29.55,62.26,61.69,61.52,60.88,492.56,564.03,503.8,573.88,171.0,171.8,4.03,3.51,76.5,76.37,8.22,9.72,8.19,9.81,48.94,48.71,50.56,50.39,1.34,1.65,1.58,1.91,0.59,0.6
待机→停机,90,25.83,0.05,0.04,0.06,0.05,2.46,2.0,2.75,2.24,1.93,1.56,1.93,1.56,2.02,1.68,2.03,1.68,2.47,2.16,0.27,0.24,-0.03,-0.02,85.75,85.79,2.56,2.47,1.71,1.69,-2.58,-2.55,0.5,0.63,0.15,0.15,6.72,6.08,3.84,3.11,49.72,47.93,51.72,49.91,11.94,11.37,12.24,11.82,46.48,44.89,46.02,44.48,154.29,208.36,159.38,214.38,167.8,162.17,0.36,0.3,124.07,120.05,2.64,3.47,2.34,3.01,44.45,43.02,45.1,43.64,0.55,0.68,0.74,0.8,0.83,0.82
待机→割煤中位,312,3.45,0.41,0.48,0.41,0.49,2.15,2.09,2.13,2.08,0.46,0.53,0.49,0.55,0.7,0.74,0.79,0.82,1.54,1.5,2.23,2.9,-0.08,-0.12,77.0,77.45,1.97,1.87,2.39,2.43,-2.9,-3.26,-0.87,-1.44,0.7,0.71,36.13,41.43,37.93,43.08,63.6,63.63,67.25,67.24,42.67,51.95,43.1,52.36,59.74,59.26,59.13,58.61,579.29,624.79,589.54,634.44,157.03,158.1,2.25,2.87,132.02,132.28,9.81,11.27,9.89,11.08,48.49,48.31,50.23,50.09,1.6,1.8,1.8,2.0,0.38,0.38
待机→割煤高位,46,4.24,0.41,0.48,0.41,0.48,2.23,2.17,2.24,2.17,0.4,0.46,0.45,0.5,0.7,0.71,0.8,0.79,1.3,1.2,2.32,3.1,-0.17,-0.18,88.05,88.67,2.28,2.32,3.31,3.42,2.63,3.47,13.47,15.03,0.68,0.69,37.55,44.41,33.53,41.56,65.8,65.75,69.44,69.35,44.93,57.43,45.3,56.71,63.17,62.6,62.59,61.91,601.0,627.52,611.3,637.57,180.23,181.54,5.37,4.11,113.91,113.79,9.09,10.18,9.82,11.06,49.23,49.0,51.01,50.85,1.5,1.68,2.03,2.29,0.53,0.48
待机→待机-高位,15,28.47,0.27,0.15,0.28,0.16,1.95,2.01,2.35,2.45,0.95,0.85,1.05,0.92,1.36,1.29,1.4,1.32,1.51,1.65,1.27,1.03,0.07,0.07,94.64,94.35,2.94,3.03,1.54,1.58,5.49,6.19,-1.57,-0.25,0.41,0.4,22.13,12.03,25.11,31.11,60.87,60.45,64.77,64.24,25.27,18.87,26.13,19.01,57.69,57.12,57.39,56.73,407.87,408.27,418.27,418.8,193.82,193.21,1.88,1.49,86.01,85.96,5.89,5.12,6.2,5.44,47.4,47.07,48.28,48.0,0.89,0.77,1.22,1.23,0.43,0.43
待机→调架中,189,1.52,0.32,0.36,0.31,0.38,1.99,1.97,2.24,2.19,0.61,0.5,0.63,0.51,0.8,0.79,0.87,0.84,1.86,1.84,1.39,0.9,-0.05,-0.04,76.88,77.06,2.24,2.25,2.11,2.09,-2.77,-2.97,-0.4,-0.54,0.55,0.55,31.02,46.22,27.89,38.47,59.86,59.8,63.96,63.75,33.75,25.68,33.82,26.17,56.52,56.11,55.99,55.54,466.97,542.33,476.23,550.76,153.6,154.8,2.36,2.36,153.44,153.4,7.23,9.03,7.7,9.44,47.1,46.96,48.53,48.44,1.24,1.57,1.66,1.96,0.47,0.46
调架中→停机,21,14.9,0.33,0.3,0.4,0.36,1.61,1.21,1.55,1.16,1.05,0.76,1.08,0.79,1.36,1.09,1.36,1.09,1.53,1.3,0.6,0.53,0.05,0.06,68.2,68.02,3.0,2.95,1.47,1.53,-0.69,-0.71,0.19,-0.48,0.28,0.28,35.22,31.04,37.36,35.01,50.35,50.39,53.31,53.52,18.33,16.02,18.3,15.81,46.42,46.27,46.2,46.07,519.24,571.43,526.38,580.1,138.42,138.46,1.56,1.56,94.69,94.67,10.23,9.6,9.72,9.28,45.27,45.32,45.13,45.16,1.8,1.64,1.91,1.82,0.74,0.75
调架中→割煤中位,1350,3.24,0.89,0.92,0.9,0.93,1.93,1.92,1.95,1.93,0.88,0.91,1.02,1.03,1.2,1.23,1.52,1.56,1.49,1.49,3.83,4.18,-0.04,-0.05,77.42,77.57,2.44,2.33,2.38,2.37,1.78,0.78,1.7,0.73,0.77,0.78,78.22,80.56,81.95,85.1,65.95,66.04,71.37,71.52,87.61,92.23,88.35,93.04,63.58,63.6,63.14,63.15,824.05,838.41,829.7,843.79,158.43,158.75,7.8,8.02,129.89,130.03,16.76,17.15,17.39,17.83,50.26,50.3,51.88,51.96,2.66,2.71,3.2,3.29,0.48,0.48
调架中→割煤低位,3,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.67,1.67,1.0,1.07,1.13,1.2,1.33,1.33,1.33,1.33,0.4,0.27,2.76,3.74,0.13,0.2,51.2,50.8,3.03,2.72,1.71,1.47,5.93,0.87,4.2,4.33,0.33,0.33,88.8,98.13,65.47,65.13,69.6,69.53,77.87,77.53,91.33,109.93,90.4,106.07,70.13,70.0,69.2,69.07,858.67,856.67,870.67,864.0,104.56,103.93,8.47,5.33,45.73,45.53,22.47,22.47,22.07,22.07,52.4,52.6,54.87,55.13,3.74,3.75,5.07,5.07,1.77,1.95
调架中→割煤高位,870,3.18,0.9,0.93,0.91,0.94,1.97,1.97,1.9,1.9,0.93,0.97,1.16,1.18,1.24,1.27,1.56,1.59,0.97,0.99,4.33,4.62,0.14,0.14,86.18,85.71,3.45,3.5,2.26,2.34,11.96,13.06,5.85,7.06,0.85,0.85,80.81,84.51,83.67,85.49,67.29,67.39,72.4,72.53,96.7,103.32,97.2,103.82,65.54,65.69,65.14,65.28,820.71,832.8,826.22,838.32,176.25,175.34,8.1,8.57,89.06,89.18,17.32,17.7,17.14,17.54,50.48,50.57,52.01,52.07,2.91,2.96,3.12,3.17,0.64,0.65
调架中→待机,203,22.63,0.76,0.62,0.76,0.62,1.9,2.05,1.93,2.1,0.76,0.64,0.82,0.69,1.12,0.98,1.36,1.17,1.68,1.7,2.66,1.96,-0.01,-0.02,75.15,75.27,2.25,2.21,2.3,2.29,-0.2,-0.93,-0.12,-0.45,0.63,0.63,75.63,62.4,67.12,56.65,62.32,62.51,67.26,67.3,66.04,51.12,66.89,51.81,59.84,59.71,59.36,59.21,747.81,731.25,753.6,738.16,151.38,152.41,6.32,4.93,150.04,150.18,14.79,12.9,15.23,13.27,48.56,48.65,49.98,50.06,2.36,2.06,2.88,2.56,0.39,0.38
调架中→待机-高位,141,6.88,0.88,0.7,0.89,0.71,2.13,2.24,2.03,2.13,0.95,0.76,1.16,0.99,1.3,1.06,1.57,1.28,0.85,0.85,3.87,2.82,0.06,0.05,77.84,77.66,3.2,3.24,2.43,2.46,10.32,10.7,6.64,7.28,0.82,0.81,75.01,57.24,79.36,64.31,66.39,66.51,71.52,71.53,84.35,64.52,84.82,65.0,64.68,64.7,64.18,64.19,816.01,764.01,822.37,772.85,158.5,158.5,8.58,6.79,64.6,64.74,16.77,13.62,16.47,13.62,50.23,50.32,51.7,51.78,2.76,2.25,2.93,2.44,0.57,0.57
