切换类型,切换次数,平均持续帧数,采煤机_截割部位_右滚筒_运行状态_切换前均值,采煤机_截割部位_右滚筒_运行状态_切换后均值,采煤机_截割部位_左滚筒_运行状态_切换前均值,采煤机_截割部位_左滚筒_运行状态_切换后均值,采煤机_截割部位_右滚筒_电机_运行状态_切换前均值,采煤机_截割部位_右滚筒_电机_运行状态_切换后均值,采煤机_截割部位_左滚筒_电机_运行状态_切换前均值,采煤机_截割部位_左滚筒_电机_运行状态_切换后均值,采煤机_牵引部位_右电机_运行状态_切换前均值,采煤机_牵引部位_右电机_运行状态_切换后均值,采煤机_牵引部位_左电机_运行状态_切换前均值,采煤机_牵引部位_左电机_运行状态_切换后均值,采煤机_油泵_右电机_运行状态_切换前均值,采煤机_油泵_右电机_运行状态_切换后均值,采煤机_油泵_左电机_运行状态_切换前均值,采煤机_油泵_左电机_运行状态_切换后均值,采煤机_破碎机_电机_运行状态_切换前均值,采煤机_破碎机_电机_运行状态_切换后均值,采煤机_牵引部位_采煤机速度_切换前均值,采煤机_牵引部位_采煤机速度_切换后均值,采煤机_牵引部位_方向_切换前均值,采煤机_牵引部位_方向_切换后均值,采煤机_牵引部位_位置架号_切换前均值,采煤机_牵引部位_位置架号_切换后均值,采煤机_截割部位_右滚筒_高度_切换前均值,采煤机_截割部位_右滚筒_高度_切换后均值,采煤机_截割部位_左滚筒_高度_切换前均值,采煤机_截割部位_左滚筒_高度_切换后均值,采煤机_截割部位_右摇臂_角度_切换前均值,采煤机_截割部位_右摇臂_角度_切换后均值,采煤机_截割部位_左摇臂_角度_切换前均值,采煤机_截割部位_左摇臂_角度_切换后均值,采煤机_牵引部位_记忆割煤状态_切换前均值,采煤机_牵引部位_记忆割煤状态_切换后均值,采煤机_截割部位_右滚筒_电机_电流_切换前均值,采煤机_截割部位_右滚筒_电机_电流_切换后均值,采煤机_截割部位_左滚筒_电机_电流_切换前均值,采煤机_截割部位_左滚筒_电机_电流_切换后均值,采煤机_截割部位_右滚筒_电机_温度_切换前均值,采煤机_截割部位_右滚筒_电机_温度_切换后均值,采煤机_截割部位_左滚筒_电机_温度_切换前均值,采煤机_截割部位_左滚筒_电机_温度_切换后均值,采煤机_牵引部位_右电机_电流_切换前均值,采煤机_牵引部位_右电机_电流_切换后均值,采煤机_牵引部位_左电机_电流_切换前均值,采煤机_牵引部位_左电机_电流_切换后均值,采煤机_牵引部位_右电机_温度_切换前均值,采煤机_牵引部位_右电机_温度_切换后均值,采煤机_牵引部位_左电机_温度_切换前均值,采煤机_牵引部位_左电机_温度_切换后均值,采煤机_牵引部位_右电机_电压_切换前均值,采煤机_牵引部位_右电机_电压_切换后均值,采煤机_牵引部位_左电机_电压_切换前均值,采煤机_牵引部位_左电机_电压_切换后均值,采煤机_牵引部位_位置米数_切换前均值,采煤机_牵引部位_位置米数_切换后均值,采煤机_破碎机_电机_电流_切换前均值,采煤机_破碎机_电机_电流_切换后均值,采煤机_破碎机_电机_温度_切换前均值,采煤机_破碎机_电机_温度_切换后均值,采煤机_油泵_右电机_电流_切换前均值,采煤机_油泵_右电机_电流_切换后均值,采煤机_油泵_左电机_电流_切换前均值,采煤机_油泵_左电机_电流_切换后均值,采煤机_油泵_右电机_温度_切换前均值,采煤机_油泵_右电机_温度_切换后均值,采煤机_油泵_左电机_温度_切换前均值,采煤机_油泵_左电机_温度_切换后均值,采煤机_油泵_右油箱_油压_切换前均值,采煤机_油泵_右油箱_油压_切换后均值,采煤机_油泵_左油箱_油压_切换前均值,采煤机_油泵_左油箱_油压_切换后均值,采煤机_采煤机倾角_俯仰角_切换前均值,采煤机_采煤机倾角_俯仰角_切换后均值
停机→轻载,162,23.32,0.2,0.15,0.2,0.15,1.64,1.97,1.88,2.19,0.45,0.92,0.47,0.95,0.61,1.13,0.65,1.15,1.37,1.8,1.01,0.72,-0.0,-0.0,93.81,93.79,2.44,2.45,2.0,1.98,1.47,1.21,0.04,0.06,0.37,0.35,19.78,15.36,18.59,14.26,54.47,54.85,57.4,57.64,22.92,17.39,23.08,17.52,51.56,51.77,51.09,51.27,368.87,326.61,373.0,333.21,181.84,182.93,1.51,1.06,104.62,107.23,5.48,5.1,5.26,5.15,45.13,45.58,46.2,46.63,0.97,0.81,1.13,0.94,0.68,0.66
停机→重载,1071,19.63,0.36,0.37,0.36,0.38,1.95,1.9,1.99,1.96,0.48,0.44,0.54,0.49,0.63,0.65,0.73,0.72,1.32,1.28,1.95,1.88,-0.04,-0.05,81.46,81.64,2.47,2.47,2.37,2.39,1.97,1.95,2.81,2.83,0.64,0.64,32.36,36.5,32.39,35.75,61.34,61.32,65.12,64.99,39.17,37.81,39.29,37.83,58.25,57.95,57.69,57.35,485.83,554.53,495.26,563.33,163.2,164.52,2.95,2.75,115.48,115.69,7.55,9.39,7.58,9.21,47.96,47.87,49.34,49.28,1.31,1.63,1.54,1.8,0.54,0.54
轻载→停机,129,15.61,0.08,0.06,0.08,0.06,2.95,2.65,3.15,2.89,2.44,2.02,2.46,2.03,2.63,2.17,2.63,2.16,3.27,2.93,0.49,0.35,-0.01,-0.02,95.23,95.28,2.49,2.44,1.86,1.85,0.03,0.06,-1.41,-1.43,0.23,0.21,10.19,6.98,6.61,4.9,53.09,51.8,55.67,54.25,13.89,11.26,14.12,11.45,49.59,48.44,49.14,48.01,153.56,153.12,158.36,159.35,189.38,185.87,0.49,0.31,136.13,133.32,2.65,1.99,2.38,1.79,45.34,44.31,46.39,45.36,0.48,0.38,0.64,0.51,0.66,0.64
轻载→重载,107,14.8,0.25,0.28,0.26,0.3,2.53,2.32,2.56,2.4,1.64,1.43,1.67,1.44,1.9,1.77,2.02,1.85,2.08,1.96,1.21,1.27,-0.02,-0.02,91.95,91.95,2.48,2.47,2.27,2.3,1.69,1.7,3.62,3.4,0.43,0.41,22.3,23.06,22.16,29.63,57.51,57.54,60.35,60.34,26.53,27.9,26.78,28.34,54.91,54.7,54.5,54.27,343.38,452.8,351.91,460.36,182.74,183.85,1.61,1.36,95.59,97.9,6.14,9.05,7.18,9.76,47.08,47.03,48.44,48.44,0.96,1.57,1.23,1.65,0.66,0.67
重载→停机,1103,7.78,0.73,0.59,0.74,0.6,1.84,2.01,1.87,2.05,0.83,0.67,0.91,0.75,1.21,0.97,1.42,1.15,1.33,1.37,3.94,3.14,-0.05,-0.05,81.38,81.61,2.41,2.44,2.48,2.46,2.3,2.14,2.96,2.95,0.68,0.68,67.01,53.4,66.81,54.4,63.06,63.21,67.46,67.54,79.37,63.65,79.64,63.86,60.68,60.73,60.24,60.29,764.49,740.69,769.6,747.53,164.57,165.71,6.11,4.93,114.11,114.45,15.64,12.93,15.64,12.88,49.28,49.42,50.66,50.79,2.55,2.15,2.88,2.44,0.57,0.56
重载→轻载,74,29.85,0.46,0.37,0.46,0.38,1.78,2.06,1.86,2.18,0.86,1.23,0.91,1.27,1.24,1.63,1.38,1.76,1.69,2.07,2.17,1.72,-0.07,-0.07,93.69,93.86,2.47,2.41,2.17,2.26,-0.32,-0.3,2.42,2.51,0.42,0.42,69.32,54.14,42.05,34.3,57.39,57.55,60.43,60.52,47.54,39.01,48.28,39.26,54.12,54.25,53.91,54.05,689.35,659.0,690.22,663.11,189.4,190.57,2.08,1.51,135.79,137.63,13.95,12.49,13.95,12.23,47.45,47.82,48.93,49.24,2.34,2.06,2.61,2.21,0.6,0.61
