切换类型,切换次数,平均持续帧数,采煤机_截割部位_右滚筒_运行状态_切换前均值,采煤机_截割部位_右滚筒_运行状态_切换后均值,采煤机_截割部位_左滚筒_运行状态_切换前均值,采煤机_截割部位_左滚筒_运行状态_切换后均值,采煤机_截割部位_右滚筒_电机_运行状态_切换前均值,采煤机_截割部位_右滚筒_电机_运行状态_切换后均值,采煤机_截割部位_左滚筒_电机_运行状态_切换前均值,采煤机_截割部位_左滚筒_电机_运行状态_切换后均值,采煤机_牵引部位_右电机_运行状态_切换前均值,采煤机_牵引部位_右电机_运行状态_切换后均值,采煤机_牵引部位_左电机_运行状态_切换前均值,采煤机_牵引部位_左电机_运行状态_切换后均值,采煤机_油泵_右电机_运行状态_切换前均值,采煤机_油泵_右电机_运行状态_切换后均值,采煤机_油泵_左电机_运行状态_切换前均值,采煤机_油泵_左电机_运行状态_切换后均值,采煤机_破碎机_电机_运行状态_切换前均值,采煤机_破碎机_电机_运行状态_切换后均值,采煤机_牵引部位_采煤机速度_切换前均值,采煤机_牵引部位_采煤机速度_切换后均值,采煤机_牵引部位_方向_切换前均值,采煤机_牵引部位_方向_切换后均值,采煤机_牵引部位_位置架号_切换前均值,采煤机_牵引部位_位置架号_切换后均值,采煤机_截割部位_右滚筒_高度_切换前均值,采煤机_截割部位_右滚筒_高度_切换后均值,采煤机_截割部位_左滚筒_高度_切换前均值,采煤机_截割部位_左滚筒_高度_切换后均值,采煤机_截割部位_右摇臂_角度_切换前均值,采煤机_截割部位_右摇臂_角度_切换后均值,采煤机_截割部位_左摇臂_角度_切换前均值,采煤机_截割部位_左摇臂_角度_切换后均值,采煤机_牵引部位_记忆割煤状态_切换前均值,采煤机_牵引部位_记忆割煤状态_切换后均值,采煤机_截割部位_右滚筒_电机_电流_切换前均值,采煤机_截割部位_右滚筒_电机_电流_切换后均值,采煤机_截割部位_左滚筒_电机_电流_切换前均值,采煤机_截割部位_左滚筒_电机_电流_切换后均值,采煤机_截割部位_右滚筒_电机_温度_切换前均值,采煤机_截割部位_右滚筒_电机_温度_切换后均值,采煤机_截割部位_左滚筒_电机_温度_切换前均值,采煤机_截割部位_左滚筒_电机_温度_切换后均值,采煤机_牵引部位_右电机_电流_切换前均值,采煤机_牵引部位_右电机_电流_切换后均值,采煤机_牵引部位_左电机_电流_切换前均值,采煤机_牵引部位_左电机_电流_切换后均值,采煤机_牵引部位_右电机_温度_切换前均值,采煤机_牵引部位_右电机_温度_切换后均值,采煤机_牵引部位_左电机_温度_切换前均值,采煤机_牵引部位_左电机_温度_切换后均值,采煤机_牵引部位_右电机_电压_切换前均值,采煤机_牵引部位_右电机_电压_切换后均值,采煤机_牵引部位_左电机_电压_切换前均值,采煤机_牵引部位_左电机_电压_切换后均值,采煤机_牵引部位_位置米数_切换前均值,采煤机_牵引部位_位置米数_切换后均值,采煤机_破碎机_电机_电流_切换前均值,采煤机_破碎机_电机_电流_切换后均值,采煤机_破碎机_电机_温度_切换前均值,采煤机_破碎机_电机_温度_切换后均值,采煤机_油泵_右电机_电流_切换前均值,采煤机_油泵_右电机_电流_切换后均值,采煤机_油泵_左电机_电流_切换前均值,采煤机_油泵_左电机_电流_切换后均值,采煤机_油泵_右电机_温度_切换前均值,采煤机_油泵_右电机_温度_切换后均值,采煤机_油泵_左电机_温度_切换前均值,采煤机_油泵_左电机_温度_切换后均值,采煤机_油泵_右油箱_油压_切换前均值,采煤机_油泵_右油箱_油压_切换后均值,采煤机_油泵_左油箱_油压_切换前均值,采煤机_油泵_左油箱_油压_切换后均值,采煤机_采煤机倾角_俯仰角_切换前均值,采煤机_采煤机倾角_俯仰角_切换后均值
停机→带载运行,29,1.03,0.86,0.88,0.86,0.88,1.99,2.0,1.91,1.89,0.88,0.91,0.99,1.02,1.05,1.06,1.29,1.3,0.44,0.53,5.36,4.99,0.22,0.22,77.62,76.66,3.38,3.41,1.69,1.69,10.22,10.26,-2.56,-2.24,0.86,0.86,75.64,71.06,92.27,94.99,66.63,66.61,73.62,73.76,101.39,103.57,104.05,106.17,65.0,65.05,64.7,64.74,788.14,786.97,796.21,792.9,158.86,156.85,2.56,33.98,48.76,48.76,17.01,16.72,16.95,17.61,50.42,50.41,51.81,51.8,2.84,2.68,3.35,3.57,0.3,0.24
停机→空载运行,828,18.86,0.62,0.65,0.63,0.66,1.92,2.0,1.91,1.98,0.71,0.84,0.8,0.91,0.97,1.1,1.18,1.3,0.39,0.67,3.54,3.66,0.01,-0.0,75.64,75.62,2.59,2.54,2.4,2.45,3.64,3.16,3.76,3.97,0.76,0.76,58.41,60.91,62.02,64.28,63.33,63.48,67.73,67.91,70.46,72.95,70.82,73.2,60.82,60.81,60.28,60.27,672.44,691.64,677.58,697.16,152.14,152.26,3.92,6.62,47.63,48.37,13.15,13.47,13.4,13.91,48.46,48.56,50.07,50.19,2.16,2.2,2.49,2.67,0.51,0.51
带载运行→停机,8,5.0,0.92,0.85,0.92,0.85,1.88,1.85,1.88,1.85,0.92,0.85,0.95,0.9,1.42,1.27,1.68,1.52,0.78,0.65,3.37,3.18,-0.1,-0.15,83.38,83.6,1.96,2.16,2.46,2.27,-2.52,-2.42,-0.45,-0.45,0.75,0.75,75.95,72.7,92.3,83.8,63.3,63.38,69.1,69.15,99.08,89.98,101.45,91.08,62.4,62.22,62.28,62.1,817.0,792.75,821.75,799.0,170.86,171.45,37.15,33.83,55.88,56.32,15.7,14.35,15.75,14.48,48.7,48.6,51.32,51.22,2.17,2.02,2.43,2.35,0.41,0.35
带载运行→空载运行,99,13.68,0.92,0.94,0.94,0.96,1.94,1.96,1.89,1.91,0.96,0.98,1.09,1.12,1.2,1.23,1.52,1.55,0.84,1.07,5.12,5.19,0.12,0.11,64.84,64.31,2.9,2.9,2.14,2.16,6.04,6.13,1.05,1.3,0.89,0.89,77.45,79.6,105.97,106.16,66.57,66.62,73.98,74.22,108.39,111.78,108.68,111.74,65.39,65.54,65.03,65.2,826.38,838.77,830.91,843.6,132.48,131.38,33.49,34.59,54.6,55.75,17.7,17.94,18.26,19.27,50.47,50.52,52.38,52.51,2.88,2.88,3.7,3.95,0.21,0.21
空载运行→停机,849,25.99,0.75,0.71,0.76,0.71,2.24,2.17,2.22,2.17,1.2,1.08,1.28,1.15,1.43,1.31,1.69,1.56,1.64,1.37,4.28,3.96,-0.15,-0.13,81.82,82.39,2.19,2.21,2.91,2.86,1.87,1.88,6.52,6.43,0.77,0.76,69.95,66.05,65.89,63.34,64.66,64.49,68.77,68.49,84.86,79.22,85.14,79.46,62.33,62.16,61.82,61.67,710.21,706.15,714.36,711.16,166.44,166.97,14.35,11.98,54.73,54.35,14.19,13.75,14.9,14.36,49.23,49.08,51.03,50.9,2.31,2.25,2.91,2.79,0.61,0.61
空载运行→带载运行,78,1.05,0.91,0.93,0.93,0.95,1.91,1.92,1.88,1.89,0.95,0.97,1.09,1.11,1.25,1.28,1.57,1.61,0.94,0.95,4.6,4.99,0.12,0.06,62.77,62.42,2.73,2.61,2.22,2.34,3.78,3.46,1.78,2.12,0.89,0.89,76.49,79.75,104.15,108.01,66.17,66.23,73.35,73.53,104.97,108.91,104.8,108.62,65.09,65.2,64.72,64.83,830.72,840.44,836.31,844.08,128.21,127.5,24.48,33.1,55.9,56.83,17.59,17.86,18.08,18.28,50.26,50.31,52.36,52.49,2.95,2.88,3.51,3.63,0.2,0.21
