状态,段数,最短(min),最长(min),平均(min),中位(min),总时长(min)
停机,1565,1,476,8.4,2.0,13140
待机,1428,1,312,5.0,1.0,7096
空载牵引,409,1,11,1.1,1.0,447
重载牵引,2522,1,120,7.3,4.0,18501
