工况,三机_转载机_电机_电流_count,三机_转载机_电机_电流_mean,三机_转载机_电机_电流_std,三机_转载机_电机_电流_min,三机_转载机_电机_电流_median,三机_转载机_电机_电流_max,三机_转载机_电机_转速_count,三机_转载机_电机_转速_mean,三机_转载机_电机_转速_std,三机_转载机_电机_转速_min,三机_转载机_电机_转速_median,三机_转载机_电机_转速_max,三机_转载机_电机_转矩_count,三机_转载机_电机_转矩_mean,三机_转载机_电机_转矩_std,三机_转载机_电机_转矩_min,三机_转载机_电机_转矩_median,三机_转载机_电机_转矩_max,三机_转载机_链条速度_count,三机_转载机_链条速度_mean,三机_转载机_链条速度_std,三机_转载机_链条速度_min,三机_转载机_链条速度_median,三机_转载机_链条速度_max,三机_转载机_变频器_IGBT1温度_count,三机_转载机_变频器_IGBT1温度_mean,三机_转载机_变频器_IGBT1温度_std,三机_转载机_变频器_IGBT1温度_min,三机_转载机_变频器_IGBT1温度_median,三机_转载机_变频器_IGBT1温度_max,三机_转载机_变频器_IGBT2温度_count,三机_转载机_变频器_IGBT2温度_mean,三机_转载机_变频器_IGBT2温度_std,三机_转载机_变频器_IGBT2温度_min,三机_转载机_变频器_IGBT2温度_median,三机_转载机_变频器_IGBT2温度_max,三机_转载机_变频器_母线电压_count,三机_转载机_变频器_母线电压_mean,三机_转载机_变频器_母线电压_std,三机_转载机_变频器_母线电压_min,三机_转载机_变频器_母线电压_median,三机_转载机_变频器_母线电压_max,三机_转载机_变频器_腔体温度_count,三机_转载机_变频器_腔体温度_mean,三机_转载机_变频器_腔体温度_std,三机_转载机_变频器_腔体温度_min,三机_转载机_变频器_腔体温度_median,三机_转载机_变频器_腔体温度_max,三机_转载机_减速器_油箱_油温_count,三机_转载机_减速器_油箱_油温_mean,三机_转载机_减速器_油箱_油温_std,三机_转载机_减速器_油箱_油温_min,三机_转载机_减速器_油箱_油温_median,三机_转载机_减速器_油箱_油温_max,三机_转载机_减速器_油箱_油位_count,三机_转载机_减速器_油箱_油位_mean,三机_转载机_减速器_油箱_油位_std,三机_转载机_减速器_油箱_油位_min,三机_转载机_减速器_油箱_油位_median,三机_转载机_减速器_油箱_油位_max,三机_转载机_减速器_冷却水_温度_count,三机_转载机_减速器_冷却水_温度_mean,三机_转载机_减速器_冷却水_温度_std,三机_转载机_减速器_冷却水_温度_min,三机_转载机_减速器_冷却水_温度_median,三机_转载机_减速器_冷却水_温度_max,三机_转载机_减速器_冷却水_压力_count,三机_转载机_减速器_冷却水_压力_mean,三机_转载机_减速器_冷却水_压力_std,三机_转载机_减速器_冷却水_压力_min,三机_转载机_减速器_冷却水_压力_median,三机_转载机_减速器_冷却水_压力_max,三机_转载机_减速器_冷却水_流量_count,三机_转载机_减速器_冷却水_流量_mean,三机_转载机_减速器_冷却水_流量_std,三机_转载机_减速器_冷却水_流量_min,三机_转载机_减速器_冷却水_流量_median,三机_转载机_减速器_冷却水_流量_max
停机,34674,0.3916,5.6646,0.0,0.0,120.0,34674,4.9993,75.1228,0.0,0.0,1404.0,34674,0.1184,1.7678,0.0,0.0,50.0,34674,7.8469,117.5066,0.0,0.0,2188.0,34682,33.8781,5.6953,0.0,34.0,63.0,34679,34.1285,5.4591,0.0,34.0,76.0,34682,398.7177,930.74,0.0,5.0,6187.0,34682,38.8004,6.1712,0.0,39.0,68.0,34681,48.2143,8.5466,21.4,46.7,79.2,34682,277.436,32.363,32.0,273.0,662.0,34680,34.5038,4.0528,19.5,34.3,65.9,34675,0.1025,0.0961,0.0,0.1,0.3,34680,26.4315,23.6334,0.0,43.0,63.0
带载运行,51717,86.6328,14.639,50.0,86.0,493.0,51717,1100.4427,242.588,-19.0,1197.0,1503.0,51717,28.2336,9.6219,-11.0,28.0,237.0,51717,1715.5888,381.8483,0.0,1868.0,2347.0,51717,47.1374,3.7811,29.0,47.0,63.0,51717,46.8411,3.4446,29.0,47.0,61.0,51717,4429.1818,269.0324,5.0,4422.0,5018.0,51717,52.1374,3.7811,34.0,52.0,68.0,51717,63.6383,6.8031,29.5,65.6,79.2,51717,296.0631,91.1798,51.0,268.0,734.0,51717,42.3136,4.7987,27.0,42.6,67.2,51717,0.1273,0.0823,0.0,0.2,0.3,51717,38.0154,14.6673,0.0,45.0,60.0
空载运行,938,0.4989,4.28,0.0,0.0,49.0,938,6.5437,87.7148,0.0,0.0,1205.0,938,0.1503,2.1136,-10.0,0.0,39.0,938,97.8124,384.7016,0.0,0.0,1877.0,938,35.7676,7.1067,0.0,34.0,63.0,938,35.8891,6.6283,0.0,35.0,59.0,938,2353.9243,1846.7662,0.0,2813.0,5089.0,938,40.7036,7.4432,0.0,39.0,68.0,938,51.7787,9.259,29.7,52.3,74.4,938,270.4136,45.9831,81.0,266.5,630.0,938,34.9344,4.5838,19.7,34.2,57.4,938,0.1135,0.0856,0.0,0.1,0.3,938,31.3561,20.4513,0.0,39.0,60.0
