特征名,重要性,累积重要性
三机_转载机_变频器_IGBT2温度,0.2396852142375167,0.2396852142375167
三机_转载机_变频器_IGBT1温度,0.1834133449821973,0.423098559219714
三机_转载机_链条速度,0.16847078724217646,0.5915693464618905
三机_转载机_电机_转速,0.16799256676547525,0.7595619132273658
三机_转载机_变频器_腔体温度,0.12792306296120212,0.8874849761885679
三机_转载机_电机_转矩,0.059775038453988696,0.9472600146425566
三机_转载机_电机_电流,0.04478786219660952,0.9920478768391661
三机_转载机_减速器_冷却水_温度,0.00795212316083394,1.0
