状态,段数,最短(min),最长(min),平均(min),中位(min),总时长(min)
停机,144,1,233,19.8,3.0,2851
割煤中位,2840,1,54,3.4,2.0,9738
割煤低位,31,1,301,10.8,1.0,335
割煤高位,2334,1,56,3.3,2.0,7812
待机,652,1,357,17.4,3.0,11316
待机-高位,426,1,216,7.0,2.0,2962
调架中,2588,1,476,1.6,1.0,4170
