特征名,重要性,累积重要性
采煤机_截割部位_左滚筒_电机_电流,0.2377527852731247,0.2377527852731247
采煤机_截割部位_右滚筒_电机_电流,0.1766468283270237,0.41439961360014843
采煤机_截割部位_右摇臂_角度,0.1730340569159567,0.5874336705161052
采煤机_截割部位_左摇臂_角度,0.17004967003108104,0.7574833405471862
采煤机_截割部位_左滚筒_电机_温度,0.1494117133335228,0.906895053880709
采煤机_截割部位_右滚筒_电机_温度,0.093104946119291,1.0
