段起始时间,段结束时间,持续时间(min),工况,是否异常,异常原因,段索引,分段号
2024-04-01 20:59:00,2024-04-01 21:07:00,9,空载运行,False,正常,66,3
2024-04-01 21:08:00,2024-04-01 22:09:00,62,停机,False,正常,67,3
2024-04-01 22:10:00,2024-04-01 22:11:00,2,空载运行,False,正常,68,3
2024-04-01 22:12:00,2024-04-01 22:15:00,4,停机,False,正常,69,3
2024-04-01 22:16:00,2024-04-01 22:16:00,1,空载运行,False,正常,70,3
2024-04-01 22:17:00,2024-04-01 22:56:00,40,停机,False,正常,71,3
2024-04-01 22:57:00,2024-04-01 22:58:00,2,空载运行,False,正常,72,3
2024-04-01 22:59:00,2024-04-01 23:38:00,40,停机,False,正常,73,3
2024-04-01 23:39:00,2024-04-01 23:43:00,5,空载运行,False,正常,74,3
2024-04-01 23:44:00,2024-04-01 23:59:00,16,停机,False,正常,75,3
2024-04-02 00:00:00,2024-04-02 00:00:00,1,带载运行,False,正常,76,3
2024-04-02 00:01:00,2024-04-02 00:07:00,7,空载运行,False,正常,77,3
2024-04-02 00:08:00,2024-04-02 00:15:00,8,停机,False,正常,78,3
2024-04-02 00:16:00,2024-04-02 00:40:00,25,空载运行,False,正常,79,3
2024-04-02 00:41:00,2024-04-02 00:41:00,1,停机,False,正常,80,3
2024-04-02 00:42:00,2024-04-02 00:49:00,8,空载运行,False,正常,81,3
2024-04-02 00:50:00,2024-04-02 00:52:00,3,停机,False,正常,82,3
2024-04-02 00:53:00,2024-04-02 00:54:00,2,空载运行,False,正常,83,3
2024-04-02 00:55:00,2024-04-02 00:58:00,4,停机,False,正常,84,3
2024-04-02 00:59:00,2024-04-02 01:14:00,16,空载运行,False,正常,85,3
2024-04-02 01:15:00,2024-04-02 01:43:00,29,停机,False,正常,86,3
2024-04-02 01:44:00,2024-04-02 01:44:00,1,空载运行,False,正常,87,3
2024-04-02 01:45:00,2024-04-02 03:34:00,110,停机,False,正常,88,3
2024-04-02 03:35:00,2024-04-02 04:05:00,31,空载运行,False,正常,89,3
2024-04-02 04:06:00,2024-04-02 04:14:00,9,停机,False,正常,90,3
2024-04-02 04:15:00,2024-04-02 04:22:00,8,空载运行,False,正常,91,3
2024-04-02 04:23:00,2024-04-02 05:17:00,55,停机,False,正常,92,3
2024-04-02 05:18:00,2024-04-02 05:18:00,1,空载运行,False,正常,93,3
2024-04-02 05:19:00,2024-04-02 05:26:00,8,停机,False,正常,94,3
2024-04-02 05:27:00,2024-04-02 05:33:00,7,空载运行,False,正常,95,3
2024-04-02 05:34:00,2024-04-02 05:36:00,3,停机,False,正常,96,3
2024-04-02 05:37:00,2024-04-02 05:39:00,3,空载运行,False,正常,97,3
2024-04-02 05:40:00,2024-04-02 05:43:00,4,停机,False,正常,98,3
2024-04-02 05:44:00,2024-04-02 05:57:00,14,空载运行,False,正常,99,3
2024-04-02 05:58:00,2024-04-02 06:00:00,3,停机,False,正常,100,3
2024-04-02 06:01:00,2024-04-02 06:16:00,16,空载运行,False,正常,101,3
2024-04-02 06:17:00,2024-04-02 06:21:00,5,停机,False,正常,102,3
2024-04-02 06:22:00,2024-04-02 06:26:00,5,空载运行,False,正常,103,3
2024-04-02 06:27:00,2024-04-02 06:37:00,11,停机,False,正常,104,3
2024-04-02 06:38:00,2024-04-02 06:45:00,8,空载运行,False,正常,105,3
2024-04-02 06:46:00,2024-04-02 07:40:00,55,停机,False,正常,106,3
2024-04-02 07:41:00,2024-04-02 07:43:00,3,空载运行,False,正常,107,3
2024-04-02 07:44:00,2024-04-02 07:45:00,2,停机,False,正常,108,3
2024-04-02 07:46:00,2024-04-02 08:05:00,20,空载运行,False,正常,109,3
2024-04-02 08:06:00,2024-04-02 08:08:00,3,停机,False,正常,110,3
2024-04-02 08:09:00,2024-04-02 08:09:00,1,空载运行,False,正常,111,3
2024-04-02 08:10:00,2024-04-02 08:19:00,10,停机,False,正常,112,3
2024-04-02 08:20:00,2024-04-02 08:21:00,2,空载运行,False,正常,113,3
2024-04-02 08:22:00,2024-04-02 08:23:00,2,停机,False,正常,114,3
2024-04-02 08:24:00,2024-04-02 08:24:00,1,空载运行,False,正常,115,3
2024-04-02 08:25:00,2024-04-02 08:34:00,10,停机,False,正常,116,3
2024-04-02 08:35:00,2024-04-02 08:39:00,5,空载运行,False,正常,117,3
2024-04-02 08:40:00,2024-04-02 08:41:00,2,停机,False,正常,118,3
2024-04-02 08:42:00,2024-04-02 08:59:00,18,空载运行,False,正常,119,3
2024-04-02 09:00:00,2024-04-02 09:00:00,1,停机,False,正常,120,3
2024-04-02 09:01:00,2024-04-02 09:24:00,24,空载运行,False,正常,121,3
2024-04-02 09:25:00,2024-04-02 09:42:00,18,停机,False,正常,122,3
2024-04-02 09:43:00,2024-04-02 09:43:00,1,空载运行,False,正常,123,3
2024-04-02 09:44:00,2024-04-02 13:49:00,246,停机,True,通讯中断/传感器休眠（段持续 >= 4h）,124,4
2024-04-02 13:50:00,2024-04-02 13:50:00,1,空载运行,False,正常,125,5
2024-04-02 13:51:00,2024-04-02 16:53:00,183,停机,False,正常,126,5
2024-04-02 16:54:00,2024-04-02 16:55:00,2,空载运行,False,正常,127,5
2024-04-02 16:56:00,2024-04-02 17:02:00,7,停机,False,正常,128,5
2024-04-02 17:03:00,2024-04-02 17:03:00,1,空载运行,False,正常,129,5
2024-04-02 17:04:00,2024-04-02 17:04:00,1,停机,False,正常,130,5
2024-04-02 17:05:00,2024-04-02 17:06:00,2,空载运行,False,正常,131,5
