段起始时间,段结束时间,持续时间(min),工况,是否异常,异常原因,段索引,分段号
2024-04-01 11:38:00,2024-04-01 11:39:00,2,空载运行,False,正常,67,1
2024-04-01 11:40:00,2024-04-01 12:11:00,32,停机,False,正常,68,1
2024-04-01 12:12:00,2024-04-01 12:13:00,2,带载运行,False,正常,69,1
2024-04-01 12:14:00,2024-04-01 12:16:00,3,停机,False,正常,70,1
2024-04-01 12:17:00,2024-04-01 12:19:00,3,带载运行,False,正常,71,1
2024-04-01 12:20:00,2024-04-01 14:16:00,117,停机,False,正常,72,1
2024-04-01 14:17:00,2024-04-01 14:18:00,2,空载运行,False,正常,73,1
2024-04-01 14:19:00,2024-04-01 14:21:00,3,停机,False,正常,74,1
2024-04-01 14:22:00,2024-04-01 14:22:00,1,空载运行,False,正常,75,1
2024-04-01 14:23:00,2024-04-01 14:24:00,2,带载运行,False,正常,76,1
2024-04-01 14:25:00,2024-04-01 14:40:00,16,空载运行,False,正常,77,1
2024-04-01 14:41:00,2024-04-01 14:47:00,7,带载运行,False,正常,78,1
2024-04-01 14:48:00,2024-04-01 14:55:00,8,停机,False,正常,79,1
2024-04-01 14:56:00,2024-04-01 14:56:00,1,空载运行,False,正常,80,1
2024-04-01 14:57:00,2024-04-01 15:09:00,13,停机,False,正常,81,1
2024-04-01 15:10:00,2024-04-01 15:10:00,1,空载运行,False,正常,82,1
2024-04-01 15:11:00,2024-04-01 15:14:00,4,停机,False,正常,83,1
2024-04-01 15:15:00,2024-04-01 15:15:00,1,空载运行,False,正常,84,1
2024-04-01 15:16:00,2024-04-01 15:22:00,7,带载运行,False,正常,85,1
2024-04-01 15:23:00,2024-04-01 15:36:00,14,停机,False,正常,86,1
2024-04-01 15:37:00,2024-04-01 16:43:00,67,带载运行,False,正常,87,1
2024-04-01 16:44:00,2024-04-01 16:53:00,10,停机,False,正常,88,1
2024-04-01 16:54:00,2024-04-01 17:32:00,39,带载运行,False,正常,89,1
2024-04-01 17:33:00,2024-04-01 17:47:00,15,停机,False,正常,90,1
2024-04-01 17:48:00,2024-04-01 17:48:00,1,带载运行,False,正常,91,1
2024-04-01 17:49:00,2024-04-01 17:49:00,1,停机,False,正常,92,1
2024-04-01 17:50:00,2024-04-01 17:50:00,1,空载运行,False,正常,93,1
2024-04-01 17:51:00,2024-04-01 19:59:00,129,带载运行,False,正常,94,1
2024-04-01 20:00:00,2024-04-01 20:00:00,1,停机,False,正常,95,1
2024-04-01 20:01:00,2024-04-01 20:10:00,10,带载运行,False,正常,96,1
2024-04-01 20:11:00,2024-04-01 20:11:00,1,空载运行,False,正常,97,1
2024-04-01 20:12:00,2024-04-01 20:18:00,7,停机,False,正常,98,1
2024-04-01 20:19:00,2024-04-01 21:20:00,62,带载运行,False,正常,99,1
2024-04-01 21:21:00,2024-04-01 21:22:00,2,停机,False,正常,100,1
2024-04-01 21:23:00,2024-04-01 21:37:00,15,带载运行,False,正常,101,1
2024-04-01 21:38:00,2024-04-01 21:38:00,1,空载运行,False,正常,102,1
2024-04-01 21:39:00,2024-04-01 21:39:00,1,带载运行,False,正常,103,1
2024-04-01 21:40:00,2024-04-01 21:40:00,1,停机,False,正常,104,1
2024-04-01 21:41:00,2024-04-01 21:41:00,1,带载运行,False,正常,105,1
2024-04-01 21:42:00,2024-04-01 21:57:00,16,停机,False,正常,106,1
2024-04-01 21:58:00,2024-04-01 21:58:00,1,带载运行,False,正常,107,1
2024-04-01 21:59:00,2024-04-01 21:59:00,1,停机,False,正常,108,1
2024-04-01 22:00:00,2024-04-01 22:00:00,1,空载运行,False,正常,109,1
2024-04-01 22:01:00,2024-04-02 00:28:00,148,带载运行,False,正常,110,1
2024-04-02 00:29:00,2024-04-02 00:29:00,1,空载运行,False,正常,111,1
2024-04-02 00:30:00,2024-04-02 03:07:00,158,带载运行,False,正常,112,1
2024-04-02 03:08:00,2024-04-02 03:31:00,24,停机,False,正常,113,1
2024-04-02 03:32:00,2024-04-02 05:37:00,126,带载运行,False,正常,114,1
2024-04-02 05:38:00,2024-04-02 05:43:00,6,停机,False,正常,115,1
2024-04-02 05:44:00,2024-04-02 06:25:00,42,带载运行,False,正常,116,1
2024-04-02 06:26:00,2024-04-02 06:33:00,8,停机,False,正常,117,1
2024-04-02 06:34:00,2024-04-02 06:34:00,1,空载运行,False,正常,118,1
2024-04-02 06:35:00,2024-04-02 06:36:00,2,停机,False,正常,119,1
2024-04-02 06:37:00,2024-04-02 07:49:00,73,带载运行,False,正常,120,1
2024-04-02 07:50:00,2024-04-02 08:06:00,17,停机,False,正常,121,1
2024-04-02 08:07:00,2024-04-02 08:07:00,1,空载运行,False,正常,122,1
2024-04-02 08:08:00,2024-04-02 09:23:00,76,带载运行,False,正常,123,1
2024-04-02 09:24:00,2024-04-02 09:25:00,2,停机,False,正常,124,1
2024-04-02 09:26:00,2024-04-02 09:29:00,4,带载运行,False,正常,125,1
2024-04-02 09:30:00,2024-04-02 09:34:00,5,停机,False,正常,126,1
2024-04-02 09:35:00,2024-04-02 10:15:00,41,带载运行,False,正常,127,1
2024-04-02 10:16:00,2024-04-02 10:20:00,5,停机,False,正常,128,1
2024-04-02 10:21:00,2024-04-02 10:52:00,32,带载运行,False,正常,129,1
2024-04-02 10:53:00,2024-04-02 11:15:00,23,停机,False,正常,130,1
2024-04-02 11:16:00,2024-04-02 11:16:00,1,带载运行,False,正常,131,1
2024-04-02 11:17:00,2024-04-02 11:18:00,2,停机,False,正常,132,1
2024-04-02 11:19:00,2024-04-02 11:19:00,1,带载运行,False,正常,133,1
2024-04-02 11:20:00,2024-04-02 11:21:00,2,停机,False,正常,134,1
2024-04-02 11:22:00,2024-04-02 11:22:00,1,带载运行,False,正常,135,1
2024-04-02 11:23:00,2024-04-02 11:23:00,1,停机,False,正常,136,1
2024-04-02 11:24:00,2024-04-02 11:24:00,1,带载运行,False,正常,137,1
2024-04-02 11:25:00,2024-04-02 11:26:00,2,停机,False,正常,138,1
2024-04-02 11:27:00,2024-04-02 11:30:00,4,带载运行,False,正常,139,1
2024-04-02 11:31:00,2024-04-02 12:41:00,71,停机,False,正常,140,1
2024-04-02 12:42:00,2024-04-02 12:42:00,1,空载运行,False,正常,141,1
2024-04-02 12:43:00,2024-04-02 12:44:00,2,停机,False,正常,142,1
2024-04-02 12:45:00,2024-04-02 12:45:00,1,空载运行,False,正常,143,1
2024-04-02 12:46:00,2024-04-02 12:47:00,2,带载运行,False,正常,144,1
2024-04-02 12:48:00,2024-04-02 12:48:00,1,停机,False,正常,145,1
2024-04-02 12:49:00,2024-04-02 12:49:00,1,带载运行,False,正常,146,1
2024-04-02 12:50:00,2024-04-02 13:18:00,29,停机,False,正常,147,1
2024-04-02 13:19:00,2024-04-02 13:22:00,4,空载运行,False,正常,148,1
2024-04-02 13:23:00,2024-04-02 14:09:00,47,停机,False,正常,149,1
2024-04-02 14:10:00,2024-04-02 14:10:00,1,空载运行,False,正常,150,1
2024-04-02 14:11:00,2024-04-02 14:48:00,38,停机,False,正常,151,1
2024-04-02 14:49:00,2024-04-02 14:49:00,1,带载运行,False,正常,152,1
2024-04-02 14:50:00,2024-04-02 16:04:00,75,停机,False,正常,153,1
2024-04-02 16:05:00,2024-04-02 16:05:00,1,空载运行,False,正常,154,1
2024-04-02 16:06:00,2024-04-02 16:07:00,2,带载运行,False,正常,155,1
2024-04-02 16:08:00,2024-04-02 16:08:00,1,停机,False,正常,156,1
2024-04-02 16:09:00,2024-04-02 16:27:00,19,带载运行,False,正常,157,1
2024-04-02 16:28:00,2024-04-02 16:30:00,3,停机,False,正常,158,1
2024-04-02 16:31:00,2024-04-02 19:37:00,187,带载运行,False,正常,159,1
2024-04-02 19:38:00,2024-04-02 19:46:00,9,停机,False,正常,160,1
2024-04-02 19:47:00,2024-04-02 21:57:00,131,带载运行,False,正常,161,1
