参数列,H统计量,p值,FDR校正p值,epsilon²,效应量等级,有效组数
采煤机_油泵_右电机_温度_中频占比,57.7514,3.5396486606943796e-11,0.0,0.0197,小,6
采煤机_油泵_右电机_电流_中频占比,65.4886,8.874564357965519e-13,0.0,0.0223,小,6
采煤机_油泵_左电机_温度_中频占比,75.4768,7.397973973597083e-15,0.0,0.0257,小,6
采煤机_油泵_左电机_电流_中频占比,62.4371,3.8074330729109455e-12,0.0,0.0213,小,6
采煤机_牵引部位_右电机_温度_中频占比,50.954,8.838593234047532e-10,0.0,0.0174,小,6
采煤机_牵引部位_右电机_电流_中频占比,49.594,1.677851943336964e-09,0.0,0.0169,小,6
采煤机_牵引部位_左电机_温度_中频占比,52.2218,4.858196636396928e-10,0.0,0.0178,小,6
采煤机_牵引部位_左电机_电流_中频占比,60.6467,8.934356923204107e-12,0.0,0.0207,小,6
采煤机_破碎机_电机_温度_中频占比,3.5826,0.6109352138490856,0.0,0.0012,无,6
采煤机_破碎机_电机_电流_中频占比,5.1948,0.3925695120213401,0.0,0.0018,无,6
采煤机_截割部位_右滚筒_电机_温度_高频占比,42.1504,5.491695626831529e-08,0.0,0.0144,小,6
采煤机_截割部位_右滚筒_电机_电流_高频占比,57.6091,3.7871710436980705e-11,0.0,0.0196,小,6
采煤机_截割部位_左滚筒_电机_温度_高频占比,55.3369,1.1127731286596289e-10,0.0,0.0189,小,6
采煤机_截割部位_左滚筒_电机_电流_高频占比,51.729,6.131161081010537e-10,0.0,0.0176,小,6
采煤机_油泵_右电机_温度_高频占比,46.7839,6.287934022665764e-09,0.0,0.0159,小,6
采煤机_油泵_右电机_电流_高频占比,80.5613,6.403576498553869e-16,0.0,0.0275,小,6
采煤机_油泵_左电机_温度_高频占比,53.3601,2.8368261569447775e-10,0.0,0.0182,小,6
采煤机_油泵_左电机_电流_高频占比,83.1081,1.875761067957957e-16,0.0,0.0283,小,6
采煤机_牵引部位_右电机_温度_高频占比,43.8367,2.4998787361061557e-08,0.0,0.0149,小,6
采煤机_牵引部位_右电机_电流_高频占比,36.7054,6.861687051601962e-07,0.0,0.0125,小,6
采煤机_牵引部位_左电机_温度_高频占比,45.7641,1.0143720254881246e-08,0.0,0.0156,小,6
采煤机_牵引部位_左电机_电流_高频占比,38.3416,3.221644006785036e-07,0.0,0.0131,小,6
采煤机_破碎机_电机_温度_高频占比,19.431,0.0015972786419963549,0.0,0.0066,无,6
采煤机_破碎机_电机_电流_高频占比,4.2847,0.5091906837365999,0.0,0.0015,无,6
