参数列,H统计量,p值,FDR校正p值,epsilon²,效应量等级,有效组数
采煤机_油泵_左电机_温度_中频占比,10.9985,0.004089902638354417,0.0,0.0037,无,3
采煤机_油泵_左电机_电流_中频占比,0.7886,0.6741607485275292,0.0,0.0003,无,3
采煤机_牵引部位_右电机_温度_中频占比,0.3649,0.8332424288420835,0.0,0.0001,无,3
采煤机_牵引部位_右电机_电流_中频占比,0.8953,0.6391248736742348,0.0,0.0003,无,3
采煤机_牵引部位_左电机_温度_中频占比,0.402,0.8179311655690205,0.0,0.0001,无,3
采煤机_牵引部位_左电机_电流_中频占比,2.272,0.3211045582453329,0.0,0.0008,无,3
采煤机_破碎机_电机_温度_中频占比,90.6297,2.08938503729596e-20,0.0,0.0308,小,3
采煤机_破碎机_电机_电流_中频占比,12.284,0.0021506542701922216,0.0,0.0042,无,3
采煤机_截割部位_右滚筒_电机_温度_高频占比,21.0932,2.6282161571344357e-05,0.0,0.0072,无,3
采煤机_截割部位_右滚筒_电机_电流_高频占比,3.1813,0.20378918436890098,0.0,0.0011,无,3
采煤机_截割部位_左滚筒_电机_温度_高频占比,6.6078,0.03673984352343425,0.0,0.0022,无,3
采煤机_截割部位_左滚筒_电机_电流_高频占比,2.6828,0.261477809971834,0.0,0.0009,无,3
采煤机_油泵_右电机_温度_高频占比,11.165,0.0037631433767340186,0.0,0.0038,无,3
采煤机_油泵_右电机_电流_高频占比,1.5852,0.4526764270564947,0.0,0.0005,无,3
采煤机_油泵_左电机_温度_高频占比,4.2433,0.11983161294249113,0.0,0.0014,无,3
采煤机_油泵_左电机_电流_高频占比,1.293,0.5238704250857609,0.0,0.0004,无,3
采煤机_牵引部位_右电机_温度_高频占比,5.7686,0.05589457278804385,0.0,0.002,无,3
采煤机_牵引部位_右电机_电流_高频占比,6.4307,0.040140590875898455,0.0,0.0022,无,3
采煤机_牵引部位_左电机_温度_高频占比,4.9334,0.08486347892376185,0.0,0.0017,无,3
采煤机_牵引部位_左电机_电流_高频占比,7.1817,0.02757525660607226,0.0,0.0024,无,3
采煤机_破碎机_电机_温度_高频占比,40.4271,1.664850306747959e-09,0.0,0.0137,小,3
采煤机_破碎机_电机_电流_高频占比,7.5216,0.023264598727887362,0.0,0.0026,无,3
