参数列,H统计量,p值,FDR校正p值,epsilon²,效应量等级,有效组数
采煤机_油泵_左电机_电流_低频占比,68.9474,7.17185883120986e-15,0.0,0.0234,小,4
采煤机_牵引部位_位置米数_低频占比,35.7135,8.60890337522213e-08,0.0,0.0121,小,4
采煤机_牵引部位_右电机_温度_低频占比,38.5748,2.1356471403963913e-08,0.0,0.0131,小,4
采煤机_牵引部位_右电机_电压_低频占比,229.4498,1.8187868524636318e-49,0.0,0.078,中,4
采煤机_牵引部位_右电机_电流_低频占比,33.3314,2.7418010854630534e-07,0.0,0.0113,小,4
采煤机_牵引部位_左电机_温度_低频占比,37.417,3.7554269198995604e-08,0.0,0.0127,小,4
采煤机_牵引部位_左电机_电压_低频占比,233.0584,3.0167457951740127e-50,0.0,0.0792,中,4
采煤机_牵引部位_左电机_电流_低频占比,42.1507,3.727249800897553e-09,0.0,0.0143,小,4
采煤机_牵引部位_采煤机速度_低频占比,30.1475,1.284908386622485e-06,0.0,0.0103,小,4
采煤机_破碎机_电机_温度_低频占比,5.4088,0.14419927611962083,0.0,0.0018,无,4
采煤机_破碎机_电机_电流_低频占比,2.8431,0.4164496823452204,0.0,0.001,无,4
采煤机_截割部位_右滚筒_电机_温度_中频占比,9.885,0.019569487864791874,0.0,0.0034,无,4
采煤机_截割部位_右滚筒_电机_电流_中频占比,30.3466,1.1667439717026008e-06,0.0,0.0103,小,4
采煤机_截割部位_左滚筒_电机_温度_中频占比,40.7547,7.371440206675508e-09,0.0,0.0139,小,4
采煤机_截割部位_左滚筒_电机_电流_中频占比,49.4801,1.0309126857631171e-10,0.0,0.0168,小,4
采煤机_油泵_右电机_温度_中频占比,29.7902,1.5276756642424585e-06,0.0,0.0101,小,4
采煤机_油泵_右电机_电流_中频占比,49.5039,1.0189295096484725e-10,0.0,0.0168,小,4
采煤机_油泵_左电机_温度_中频占比,46.1854,5.179324135163809e-10,0.0,0.0157,小,4
采煤机_油泵_左电机_电流_中频占比,38.4936,2.2219302839895357e-08,0.0,0.0131,小,4
采煤机_牵引部位_位置米数_中频占比,32.1482,4.870232529524934e-07,0.0,0.0109,小,4
采煤机_牵引部位_右电机_温度_中频占比,29.6895,1.603961651510909e-06,0.0,0.0101,小,4
采煤机_牵引部位_右电机_电压_中频占比,169.5617,1.582260289696962e-36,0.0,0.0577,小,4
采煤机_牵引部位_右电机_电流_中频占比,26.3838,7.926031657861608e-06,0.0,0.009,无,4
采煤机_牵引部位_左电机_温度_中频占比,27.887,3.835884568441718e-06,0.0,0.0095,无,4
采煤机_牵引部位_左电机_电压_中频占比,184.0466,1.1790650316332529e-39,0.0,0.0626,中,4
采煤机_牵引部位_左电机_电流_中频占比,28.533,2.807036030278979e-06,0.0,0.0097,无,4
采煤机_牵引部位_采煤机速度_中频占比,22.5956,4.903071742023141e-05,0.0,0.0077,无,4
采煤机_破碎机_电机_温度_中频占比,4.3752,0.22369134661254286,0.0,0.0015,无,4
采煤机_破碎机_电机_电流_中频占比,3.5742,0.31127164583944206,0.0,0.0012,无,4
采煤机_截割部位_右滚筒_电机_温度_高频占比,19.9458,0.0001741910706768053,0.0,0.0068,无,4
采煤机_截割部位_右滚筒_电机_电流_高频占比,39.9177,1.1091665193068706e-08,0.0,0.0136,小,4
采煤机_截割部位_左滚筒_电机_温度_高频占比,35.476,9.663823660924203e-08,0.0,0.0121,小,4
采煤机_截割部位_左滚筒_电机_电流_高频占比,45.884,6.002874815619724e-10,0.0,0.0156,小,4
采煤机_油泵_右电机_温度_高频占比,33.3693,2.6917657672288545e-07,0.0,0.0113,小,4
采煤机_油泵_右电机_电流_高频占比,71.1779,2.3877904695891017e-15,0.0,0.0242,小,4
采煤机_油泵_左电机_温度_高频占比,29.294,1.942456596727869e-06,0.0,0.01,无,4
采煤机_油泵_左电机_电流_高频占比,64.9905,5.039631598893617e-14,0.0,0.0221,小,4
采煤机_牵引部位_位置米数_高频占比,33.8817,2.0984791894885844e-07,0.0,0.0115,小,4
采煤机_牵引部位_右电机_温度_高频占比,38.3462,2.387504228646376e-08,0.0,0.013,小,4
采煤机_牵引部位_右电机_电压_高频占比,192.693,1.5990124468530594e-41,0.0,0.0655,中,4
采煤机_牵引部位_右电机_电流_高频占比,20.1167,0.0001605447548394146,0.0,0.0068,无,4
采煤机_牵引部位_左电机_温度_高频占比,42.1369,3.7525112411417934e-09,0.0,0.0143,小,4
采煤机_牵引部位_左电机_电压_高频占比,182.0095,3.247007680977989e-39,0.0,0.0619,中,4
采煤机_牵引部位_左电机_电流_高频占比,28.0992,3.462042147584292e-06,0.0,0.0096,无,4
采煤机_牵引部位_采煤机速度_高频占比,14.8431,0.00195578590314793,0.0,0.005,无,4
采煤机_破碎机_电机_温度_高频占比,14.869,0.0019321056180241873,0.0,0.0051,无,4
采煤机_破碎机_电机_电流_高频占比,2.2208,0.5278716309212514,0.0,0.0008,无,4
